domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_num CRR125950_0.90.bracken_num CRR125950_0.95.bracken_num CRR125950_0.99.bracken_num CRR125950_0.bracken_num CRR125950_1.bracken_num 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingopyxis Sphingopyxis sp. FD7 	1914525 773 0 0 0 41 0 
Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Schaalia Schaalia odontolytica 1660 	S 0.00394 0.00110 0.00055 0.00000 0.00235 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Tannerellaceae Tannerella Tannerella sp. oral 	taxon 712710 19 0 0 0 41 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Proteus Proteus sp. CD3 	1921565 4 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Aeromonadales Aeromonadaceae Aeromonas Aeromonas sp. CA23 	2033032 2 0 0 0 1 0 
Bacteria Cyanobacteria NA Chroococcales Microcystaceae Microcystis Microcystis aeruginosa 1126 	S 0.00003 0.00000 0.00000 0.00000 0.00129 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Ramlibacter Ramlibacter tataouinensis 94132 	S 0.00005 0.00012 0.00015 0.00014 0.00002 0.00015 
Eukaryota Ascomycota Sordariomycetes Magnaporthales Pyriculariaceae Pyricularia Pyricularia grisea 148305 	S 0.00003 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bartonellaceae Bartonella Bartonella apis 1686310 	S 0.00005 0.00008 0.00005 0.00007 0.00002 0.00008 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella sp. oral 	taxon 652716 6 4 4 4 44 4 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium vivax 5855 	S 0.00003 0.00000 0.00000 0.00000 0.00350 0.00000 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae Actinopolymorpha Actinopolymorpha singaporensis 117157 	S 0.00003 0.00000 0.00000 0.00000 0.00026 0.00000 
Bacteria Proteobacteria Gammaproteobacteria NA NA NA Gammaproteobacteria bacterium DM2 	2169539 2 3 2 2 1 1 
Bacteria Thermotogae Thermotogae Petrotogales Petrotogaceae Marinitoga Marinitoga piezophila 149715 	S 0.00005 0.00024 0.00030 0.00050 0.00002 0.00060 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Pichiaceae Ogataea Ogataea parapolymorpha 1005962 	S 0.00008 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae NA Bradyrhizobiaceae bacterium SG-6C 	709797 6 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga sputigena 1019 	S 0.00280 0.00000 0.00000 0.00000 0.00571 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Halarcobacter Halarcobacter bivalviorum 663364 	S 0.00005 0.00012 0.00015 0.00007 0.00002 0.00008 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga gingivalis 1017 	S 0.00035 0.00000 0.00000 0.00000 0.00136 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Brucellaceae Ochrobactrum Ochrobactrum anthropi 529 	S 0.50358 0.12324 0.08570 0.09607 0.29077 0.10594 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Hydrogenophaga Hydrogenophaga sp. NH-16 	2184519 62 32 24 25 251 29 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Erwinia Erwinia persicina 55211 	S 0.00044 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales NA Candidatus Azobacteroides Candidatus Azobacteroides 	pseudotrichonymphae S 0.00003 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella enoeca 76123 	S 0.00044 0.00024 0.00025 0.00029 0.00134 0.00030 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Rothia Rothia mucilaginosa 43675 	S 0.00470 0.00059 0.00050 0.00043 0.00536 0.00053 
Viruses Negarnaviricota Monjiviricetes Mononegavirales Paramyxoviridae Respirovirus Human respirovirus 3 	11216 3 0 0 0 16 0 
Bacteria Proteobacteria Betaproteobacteria Rhodocyclales Zoogloeaceae Azoarcus Azoarcus sp. KH32C 	748247 6 4 4 2 1 2 
Eukaryota Apicomplexa Conoidasida Eucoccidiorida Sarcocystidae Toxoplasma Toxoplasma gondii 5811 	S 0.00147 0.00887 0.01581 0.03676 0.00197 0.04882 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma hyorhinis 2100 	S 0.00014 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus sp. lzh-N1 	2069255 4 9 7 4 1 3 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Pectobacteriaceae Dickeya Dickeya fangzhongdai 1778540 	S 0.00041 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Achromobacter Achromobacter sp. AONIH1 	1758194 157 0 0 0 3 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus Staphylococcus cohnii 29382 	S 0.00038 0.00149 0.00186 0.00266 0.00002 0.00316 
Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae Stenotrophomonas Stenotrophomonas maltophilia 40324 	S 0.00392 0.00259 0.00267 0.00000 0.00258 0.00000 
Bacteria Chlamydiae Chlamydiia Chlamydiales Chlamydiaceae Chlamydia Chlamydia suis 83559 	S 0.00035 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Geobacillus Geobacillus subterraneus 129338 	S 0.00011 0.00035 0.00035 0.00029 0.00002 0.00023 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Methylobacteriaceae Methylorubrum Methylorubrum populi 223967 	S 0.00008 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Thermodesulfobacteria Thermodesulfobacteria Thermodesulfobacteriales Thermodesulfobacteriaceae Thermodesulfatator Thermodesulfatator indicus 171695 	S 0.00003 0.00004 0.00005 0.00007 0.00002 0.00008 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Delftia Delftia acidovorans 80866 	S 0.00631 0.00133 0.00116 0.00122 0.00171 0.00128 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Lautropia Lautropia mirabilis 47671 	S 0.00938 0.00000 0.00000 0.00000 0.01214 0.00000 
