"","ENVHA_235033541_trim25_frac","ENVHA_235057263_trim25_frac","ENVHA_235057491_trim25_frac","ENVHA_235057493_trim25_frac","ENVHA_235057560_trim25_frac","ENVHA_235063938_trim25_frac","ENVHA_235072464_trim25_frac","ENVHA_332760487_trim25_frac","ENVHA_332760505_trim25_frac","ENVHA_332761261_trim25_frac","ENVHA_332763462_trim25_frac","ENVHA_332766234_trim25_frac","ENVHA_332766361_trim25_frac","ENVHA_332766367_trim25_frac","ENVHA_332766382_trim25_frac","ENVHA_332766553_trim25_frac","ENVHA_332766565_trim25_frac","ENVHA_332766577_trim25_frac","ENVHA_332766585_trim25_frac","ENVHA_332767040_trim25_frac","ENVHA_332767115_trim25_frac","ENVHA_332767116_trim25_frac","ENVHA_332767131_trim25_frac","ENVHA_332767142_trim25_frac","ENVHA_332767164_trim25_frac","ENVHA_332767240_trim25_frac","ENVHA_332767265_trim25_frac","ENVHA_332767281_trim25_frac","ENVHA_332767798_trim25_frac","ENVHA_332767811_trim25_frac","ENVHA_332767828_trim25_frac","ENVHA_332767854_trim25_frac","ENVHA_332769255_trim25_frac","ENVHA_332769263_trim25_frac","ENVHA_332769282_trim25_frac","ENVHA_332769330_trim25_frac","ENVHA_332769475_trim25_frac","ENVHA_332770127_trim25_frac","ENVHA_332773187_trim25_frac","ENVHA_332773976_trim25_frac","ENVHA_332774160_trim25_frac","ENVHA_338311314_trim25_frac","ENVHA_338312231_trim25_frac","ENVHA_338312232_trim25_frac","ENVHA_338312247_trim25_frac","ENVHA_338313528_trim25_frac","ENVHA_338314157_trim25_frac","ENVHA_338314170_trim25_frac","ENVHA_338315335_trim25_frac","ENVHA_338316258_trim25_frac","ENVHA_338316278_trim25_frac","ENVHA_338318855_trim25_frac","ENVHA_338319683_trim25_frac","ENVHA_338319947_trim25_frac","ENVHA_338319976_trim25_frac","ENVHA_338337127_trim25_frac","ENVHA_338337295_trim25_frac","ENVHA_338337338_trim25_frac","ENVHA_338338122_trim25_frac","ENVHA_338339731_trim25_frac","ENVHA_338339754_trim25_frac"
"1457153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0
"68209",7e-05,2e-05,0,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,6e-05,1e-05,0,2e-05,1e-05,0,2e-05,3e-05,1e-05,2e-05,0,3e-05,1e-05,0,1e-05,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,4e-05,1e-05,3e-05,1e-05,1e-05,2e-05,2e-05,7e-05,3e-05,1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,2e-05,0,1e-05,1e-05,2e-05,1e-05,1e-05,5e-05,0,2e-05,1e-05,1e-05,8e-05,2e-05,3e-05
"83984",0,0,0,1e-05,0,0,1e-05,1e-05,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,1e-05,0,0,1e-05,1e-05,0,2e-05,0,0,0,2e-05,0,1e-05,1e-05,0,0,0,0,0,0,0,1e-05,1e-05,0,0,1e-05,0,1e-05,0,0,0,0,0,0,1e-05,0,1e-05
"29419",1e-05,0,1e-05,1e-05,1e-05,1e-05,0,2e-05,0,0,2e-05,0,0,0,1e-05,0,0,1e-05,0,1e-05,2e-05,7e-05,2e-05,2e-05,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,0,1e-05,1e-05,3e-05,2e-05,1e-05,1e-05,0,2e-05,2e-05,1e-05,1e-05,2e-05,0,1e-05,2e-05,3e-05,4e-05,1e-05,1e-05,3e-05,0,0,1e-05,1e-05
"186189",5e-05,7e-05,6e-05,0.00016,0.00015,9e-05,9e-05,0.00018,0.00018,0.00016,0.00018,8e-05,8e-05,6e-05,0.00017,3e-05,6e-05,0.00016,9e-05,0.00016,7e-05,0.00014,7e-05,0.00015,7e-05,0.00014,1e-05,0.00019,1e-04,7e-05,0.00019,0.00013,8e-05,8e-05,0.00016,0.00017,0.00012,0.00011,1e-05,0.00013,0.00017,0.00016,0.00011,4e-05,0.00019,0.00017,0.00017,3e-05,0.00019,0.00011,0.00011,0.00017,0.00018,0,1e-04,0.00017,0.00017,0.00012,6e-05,1e-04,0.00013
"76335",0.00104,0.00035,3e-05,1e-05,3e-05,0.00012,4e-05,1e-05,1e-05,4e-05,0,3e-05,6e-05,1e-05,1e-05,0.00053,4e-05,0,5e-05,0,1e-04,1e-05,0,1e-05,4e-05,3e-05,0,1e-05,0.00014,0.00014,6e-05,8e-05,0.00013,0.00016,7e-05,1e-05,0.00014,8e-05,6e-05,0.00028,0,1e-05,0.00037,5e-05,7e-05,1e-05,0.00013,0,1e-05,6e-05,4e-05,1e-05,1e-05,0.00028,7e-05,0.00011,2e-05,4e-05,7e-05,4e-05,5e-05
"2478663",4e-05,1e-05,4e-05,2e-05,4e-05,3e-05,2e-05,3e-05,7e-05,6e-05,3e-05,2e-05,5e-05,1e-05,6e-05,0.00035,2e-05,4e-05,2e-05,7e-05,0,3e-05,2e-05,7e-05,1e-05,3e-05,0,4e-05,4e-05,1e-05,2e-05,1e-05,2e-05,3e-05,3e-05,3e-05,5e-05,2e-05,1e-04,4e-05,3e-05,5e-05,1e-05,2e-05,4e-05,9e-05,2e-05,2e-05,6e-05,1e-05,8e-05,9e-05,4e-05,5e-05,3e-05,0.00024,7e-05,3e-05,0.00015,6e-05,0
"169176",0.00054,9e-05,6e-05,0.00014,0.00015,0.00029,1e-04,8e-05,0.00015,0.00028,0.00013,0.00021,7e-05,0.00016,8e-05,9e-05,1e-04,0.00016,0.00022,8e-05,0.00016,1e-04,6e-05,8e-05,5e-05,7e-05,5e-05,0.00015,0.00011,0.00011,0.00038,0.00021,1e-04,0.00013,0.00017,0.00011,0.00014,0.00024,0.00037,0.00025,0.00015,1e-04,0.00012,0.00013,0.00014,0.00015,7e-05,2e-05,0.00012,0.00016,0.00021,0.00019,0.00013,0.00019,0.00084,0.00016,0.00014,9e-05,0.00013,3e-04,0.00037
"1961362",0.00022,0.00013,0.00013,0.00028,0.00023,0.00022,5e-04,0.00038,0.00086,3e-04,0.00029,0.00039,0.00054,0.00021,0.00017,0.00012,0.00026,0.00044,0.00086,0.00018,7e-05,0.00025,0.00011,2e-04,9e-05,0.00026,2e-05,0.00034,0.00019,0.00022,0.00016,0.00039,3e-04,0.00024,0.00031,0.00032,7e-05,0.00033,1e-04,0.00023,3e-04,0.00028,0.00046,9e-05,0.00039,3e-04,0.00046,5e-05,0.00042,0.00013,0.00018,6e-04,0.00038,0.00039,0.00067,0.00025,0.00033,0.00027,1e-04,0.00073,0.00029
"887061",0,0,1e-05,0,1e-05,2e-05,0,0,2e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,0,1e-05,0,1e-05,0,1e-05,0,0,0,0,1e-05,1e-05,0,0,7e-05,0,0,0,1e-05,2e-05,0,1e-05,0,0,0,1e-05,0,0,1e-05,2e-05,0,0,1e-05,0,2e-05,0,1e-05,0,0,1e-05,1e-05,0,0,0,0
"1769779",4e-05,0,0,0,0,0,1e-05,0,0,2e-05,0,0,4e-05,0,0,1e-05,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,1e-05,1e-05,0,0,0,1e-05,1e-05,0,0,0,0,0,0,0,0,1e-05,0,1e-05,0,0,0,0,0,0,0,2e-05,0,1e-05,0,0,1e-05,0,1e-05
"2025658",4e-05,1e-05,0,0,0,0,0,0,0,1e-05,0,1e-05,1e-05,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,1e-05,0,3e-05,0,1e-05,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,2e-05,1e-05,2e-05
