"","ENVHA_235033541_trim25_frac","ENVHA_235057263_trim25_frac","ENVHA_235057491_trim25_frac","ENVHA_235057493_trim25_frac","ENVHA_235057560_trim25_frac","ENVHA_235063938_trim25_frac","ENVHA_235072464_trim25_frac","ENVHA_332760487_trim25_frac","ENVHA_332760505_trim25_frac","ENVHA_332761261_trim25_frac","ENVHA_332763462_trim25_frac","ENVHA_332766234_trim25_frac","ENVHA_332766361_trim25_frac","ENVHA_332766367_trim25_frac","ENVHA_332766382_trim25_frac","ENVHA_332766553_trim25_frac","ENVHA_332766565_trim25_frac","ENVHA_332766577_trim25_frac","ENVHA_332766585_trim25_frac","ENVHA_332767040_trim25_frac","ENVHA_332767115_trim25_frac","ENVHA_332767116_trim25_frac","ENVHA_332767131_trim25_frac","ENVHA_332767142_trim25_frac","ENVHA_332767164_trim25_frac","ENVHA_332767240_trim25_frac","ENVHA_332767265_trim25_frac","ENVHA_332767281_trim25_frac","ENVHA_332767798_trim25_frac","ENVHA_332767811_trim25_frac","ENVHA_332767828_trim25_frac","ENVHA_332767854_trim25_frac","ENVHA_332769255_trim25_frac","ENVHA_332769263_trim25_frac","ENVHA_332769282_trim25_frac","ENVHA_332769330_trim25_frac","ENVHA_332769475_trim25_frac","ENVHA_332770127_trim25_frac","ENVHA_332773187_trim25_frac","ENVHA_332773976_trim25_frac","ENVHA_332774160_trim25_frac","ENVHA_338311314_trim25_frac","ENVHA_338312231_trim25_frac","ENVHA_338312232_trim25_frac","ENVHA_338312247_trim25_frac","ENVHA_338313528_trim25_frac","ENVHA_338314157_trim25_frac","ENVHA_338314170_trim25_frac","ENVHA_338315335_trim25_frac","ENVHA_338316258_trim25_frac","ENVHA_338316278_trim25_frac","ENVHA_338318855_trim25_frac","ENVHA_338319683_trim25_frac","ENVHA_338319947_trim25_frac","ENVHA_338319976_trim25_frac","ENVHA_338337127_trim25_frac","ENVHA_338337295_trim25_frac","ENVHA_338337338_trim25_frac","ENVHA_338338122_trim25_frac","ENVHA_338339731_trim25_frac","ENVHA_338339754_trim25_frac"
"712633",0.00055,0.00014,0.00031,5e-05,6e-05,0.00019,0.00019,2e-05,3e-05,0.00024,3e-05,0.00016,6e-05,0.00019,3e-05,0.00011,0.00017,4e-05,0.00021,2e-05,3e-04,2e-05,1e-05,2e-05,0.00012,2e-05,0.00044,3e-05,8e-05,0.00033,7e-05,7e-05,0.00021,0.00012,4e-05,5e-05,0.00018,0.00014,0.00157,0.00018,5e-05,3e-05,2e-05,7e-05,4e-05,6e-05,3e-05,1e-05,2e-05,5e-05,4e-05,4e-05,3e-05,0.00036,0.00026,4e-05,4e-05,4e-05,0.00047,5e-05,0.00016
"74700",0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,1e-05,0,0,0,0,0,0,6e-05,0,0,0,0,0,0,0
"696485",0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,1e-05,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,1e-05,0,2e-05,0,1e-05,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0
"2021234",2e-05,1e-05,1e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,0,1e-05,0,1e-05,1e-05,1e-05,2e-05,7e-05,2e-05,1e-05,1e-05,0,2e-05,1e-05,1e-05,1e-05,1e-05,0.00013,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,3e-05,2e-05,2e-05,2e-05,4e-05,3e-05,0,1e-05,1e-05,3e-05,5e-05,2e-05,3e-05,3e-05,1e-05,2e-05,2e-05,2e-05,2e-05,1e-05,0,0,3e-05,2e-05,1e-05,0,4e-05,3e-05
"794846",0,0,0,1e-05,0,0,0,0,0,0,0,0,2e-05,1e-05,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,3e-05,0,0,0,2e-05,0,0,0,0,0,0,1e-05,0,0,4e-05,1e-04,1e-05,0,0,0,0,0
"1302376",0,1e-05,2e-05,4e-05,2e-05,5e-05,1e-05,1e-05,1e-05,0,1e-05,1e-05,0.00015,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,0,1e-05,1e-05,1e-05,2e-05,1e-05,0,1e-05,6e-05,3e-05,1e-05,3e-05,1e-05,1e-05,3e-05,1e-05,5e-05,1e-05,0,0,1e-05,2e-05,1e-05,3e-05,3e-05,3e-05,3e-05,1e-05,1e-05,2e-05,7e-05,2e-05,1e-05,0,1e-05,2e-05,2e-05,1e-05,4e-05,1e-05,1e-05
"492670",0.00012,8e-05,0.00039,0.00033,0.00025,1e-04,2e-04,0.00151,9e-05,0.00011,0.00022,4e-04,3e-05,0.00038,0.00121,0.00012,0.00013,2e-04,0.00027,0.0013,1e-05,0.00223,0.00324,0.00096,0.00053,0.0027,6e-05,0.00058,0.00028,0.00044,0.00017,0.00023,4e-05,9e-05,2e-04,0.00014,4e-04,0.00015,0.00014,9e-05,0.00013,0.00159,0.00011,0.00074,0.00024,0.00039,0.00018,0.00209,0.00016,0.00022,0.00025,0.00022,0.00018,0.00031,0.00014,0.00019,0.00023,7e-05,5e-05,0.00016,5e-05
"1866",6e-05,0.00012,3e-05,1e-04,0.00051,9e-05,3e-05,7e-05,0.00114,1e-04,1e-04,5e-05,2e-05,0.00016,5e-05,2e-05,5e-05,9e-05,8e-05,5e-05,6e-05,6e-05,4e-05,5e-05,4e-05,6e-05,8e-05,7e-05,5e-05,8e-05,0.00011,7e-05,6e-05,0.00021,7e-05,1e-04,5e-05,8e-05,0.00039,2e-05,0.00014,5e-05,0.00014,0.00011,7e-05,5e-05,0.00012,2e-05,1e-04,8e-05,1e-04,1e-04,1e-04,6e-05,2e-05,2e-04,7e-05,3e-05,8e-05,7e-05,8e-05
"2004646",5e-05,3e-05,0,1e-05,2e-05,6e-05,0,8e-05,1e-05,1e-05,0,3e-05,3e-05,1e-05,8e-05,3e-05,1e-05,1e-05,0,5e-05,9e-05,6e-05,2e-05,7e-05,2e-05,7e-05,0,1e-05,2e-05,7e-05,2e-05,1e-05,6e-05,3e-05,1e-05,0,7e-05,4e-05,0,5e-05,0,0.00026,1e-05,5e-05,1e-05,1e-05,1e-05,4e-05,1e-05,1e-05,3e-05,1e-05,0,3e-05,0,0,1e-05,2e-05,1e-05,1e-05,5e-05
"2004644",8e-04,1e-04,3e-05,8e-05,9e-05,0.00017,7e-05,3e-05,3e-05,2e-04,2e-05,0.00024,0.00031,2e-05,6e-05,7e-05,0.00035,4e-05,0.00029,5e-05,2e-04,4e-05,4e-05,4e-05,5e-05,5e-05,1e-05,4e-05,5e-05,0.00029,0.00017,0.00011,0.00021,0.00025,0.00021,3e-05,0.00029,0.00014,0.00049,0.00048,2e-05,7e-05,2e-05,0.00021,6e-05,9e-05,9e-05,4e-05,2e-05,4e-04,0.00012,5e-05,3e-05,0.00057,0.00074,0.00017,4e-05,0.00011,0.00016,0.00012,0.00032
"35786",0,1e-05,1e-05,2e-05,3e-05,0,1e-05,1e-05,4e-05,0,1e-05,1e-05,0,4e-05,1e-05,0,2e-05,2e-05,0,1e-05,0,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,7e-05,2e-05,2e-05,0,1e-05,2e-05,2e-05,1e-05,2e-05,0,2e-05,1e-05,5e-05,2e-05,3e-05,3e-05,2e-05,1e-05,2e-05,2e-05,1e-05,1e-05,1e-05,3e-05,0,1e-05,2e-05,2e-05,0,1e-04,0
"131112",2e-05,5e-05,5e-05,5e-05,9e-05,0.00011,5e-05,4e-05,4e-05,1e-05,7e-05,0.00051,0.00011,3e-05,3e-05,0,0,5e-05,8e-05,3e-05,0,4e-05,3e-05,3e-05,1e-04,4e-05,3e-05,5e-05,5e-05,8e-05,1e-05,3e-05,1e-04,0,4e-05,8e-05,1e-05,1e-05,5e-05,8e-05,7e-05,5e-05,0.00012,2e-05,4e-05,4e-05,4e-05,2e-05,3e-05,4e-05,8e-05,4e-05,4e-05,7e-05,0,6e-05,3e-05,1e-05,6e-05,4e-05,5e-05
"2066483",0,0,2e-05,3e-05,2e-05,0,0,1e-05,1e-05,2e-05,1e-05,0,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,2e-05,2e-05,0,1e-05,0,1e-05,0,1e-05,3e-05,0,0,3e-05,2e-05,1e-05,1e-05,1e-05,2e-05,2e-05,0,2e-05,1e-05,2e-05,4e-05,1e-05,3e-05,3e-05,6e-05,1e-05,2e-05,3e-05,2e-05,2e-05,3e-05,0,0,1e-05,3e-05,1e-05,1e-05,0,1e-05
"2187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65093",3e-05,0.00031,0.00012,0.00035,0.00053,0.00021,0.00046,0.0012,0.00036,2e-05,7e-04,0.00038,4e-05,0.0038,0.00048,0.00532,4e-05,0.00039,0.00021,4e-04,8e-05,0.00061,0.00025,3e-04,0.00025,0.00897,2e-05,0.00071,0.00035,0.00015,0.00039,0.00043,0.00017,8e-05,0.00079,0.00085,8e-05,0.00045,4e-05,0.00143,0.00032,0.00144,0.00021,0.00014,0.00054,0.00056,0.00037,0.00013,0.00085,0.00056,0.00042,0.0012,0.00067,0.00013,2e-04,0.00089,6e-04,0.00022,0.00082,0.00147,0.00038
"29447",0,1e-05,0,0,0,1e-05,0,0,1e-05,0,0,1e-05,4e-05,0,0,1e-05,5e-05,0,3e-05,0,1e-05,0,0,0,0,0,1e-05,1e-05,0,2e-05,0,1e-05,3e-05,3e-05,4e-05,1e-05,1e-05,1e-05,0,4e-05,0,0,0,0,1e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,0,0,0,2e-05,0,0,0,7e-05,2e-05
"27288",8e-05,2e-05,1e-05,0,1e-05,4e-05,6e-05,2e-05,1e-05,1e-05,3e-05,4e-05,1e-04,0,5e-05,2e-05,4e-05,1e-05,0,6e-05,6e-05,2e-05,5e-05,6e-05,1e-05,3e-05,0,1e-05,1e-05,1e-05,2e-05,1e-05,4e-05,3e-05,2e-05,0,9e-05,1e-05,0,0.00012,2e-05,5e-05,1e-05,3e-05,1e-05,2e-05,2e-05,6e-05,2e-05,1e-05,5e-05,2e-05,1e-05,0.00014,4e-05,1e-05,3e-05,2e-05,6e-05,2e-05,4e-05
"27289",6e-05,0,0,0,1e-05,2e-05,1e-05,1e-05,0,1e-05,0,1e-05,2e-05,1e-05,3e-05,0,0,0,2e-05,3e-05,8e-05,1e-05,2e-05,2e-05,1e-05,2e-05,0,0,1e-05,0,1e-05,1e-05,0,0,1e-05,0,6e-05,0,0,2e-05,0,2e-05,1e-05,4e-05,0,1e-05,0,3e-05,0,1e-05,1e-05,1e-05,0,5e-05,0,1e-05,1e-05,0,0,1e-05,1e-05
"35788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0
"35789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1415657",1e-05,1e-05,1e-05,1e-05,0,0,0,0,0,1e-05,0,2e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,1e-05,2e-05,0,3e-05,0,1e-05,0,2e-05,0,4e-05,0,0,1e-05,1e-05,2e-05,1e-05,1e-05,0,1e-05,0,1e-05,1e-05,0,0,6e-05,0,1e-05,1e-05,0,1e-05,1e-05,0
"796027",3e-05,8e-05,8e-05,7e-05,8e-05,0.00015,7e-05,0.00024,7e-05,5e-05,5e-05,0.00132,0.00011,5e-05,0.00051,5e-05,9e-05,5e-05,0.00025,0.00069,5e-05,0.00028,0.00064,0.00065,3e-05,4e-04,1e-05,8e-05,9e-05,1e-04,4e-05,6e-05,8e-05,8e-05,0.00015,3e-05,8e-05,0.00017,9e-05,2e-05,7e-05,0.00047,4e-05,0.00015,0.00011,1e-04,4e-05,0.00091,0.00011,7e-05,0.00031,8e-05,8e-05,3e-05,0.00014,7e-05,0.00014,6e-05,5e-05,1e-04,7e-05
"167",0,0,3e-05,2e-05,2e-05,0,2e-05,2e-05,2e-05,0,2e-05,1e-05,3e-05,5e-05,1e-05,2e-05,1e-05,2e-05,4e-05,1e-05,0,1e-05,1e-05,1e-05,2e-05,2e-05,0,2e-05,3e-05,8e-05,1e-05,1e-05,2e-05,0,3e-05,2e-05,3e-05,4e-05,0,0,2e-05,2e-05,1e-05,1e-05,2e-05,3e-05,3e-05,1e-05,2e-05,6e-05,1e-05,3e-05,2e-05,0,0,1e-05,3e-05,0,3e-05,1e-05,1e-05
"313598",0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,1e-05
"2305508",0,0,1e-05,1e-05,1e-05,3e-05,0,1e-05,1e-05,2e-05,1e-05,4e-05,4e-05,0,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,1e-05,0,1e-05,1e-05,0,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,2e-05,0,2e-05,0,4e-05,8e-05,1e-05,1e-05,9e-05,2e-05,1e-05,1e-05,0,0,1e-05,0,1e-05,1e-05,1e-05,8e-05,0,1e-05,1e-05,0,2e-05,6e-05,1e-05
"1920114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346",9e-05,1e-05,4e-05,0.00013,5e-05,0,0.00017,5e-05,0.00011,0.00013,5e-05,1e-05,8e-05,2e-05,3e-05,1e-05,0.00013,1e-04,0.00014,3e-05,5e-05,2e-05,2e-05,2e-05,1e-05,5e-05,3e-05,1e-04,0.00036,1e-05,1e-05,0.00021,9e-05,5e-05,0.00029,4e-05,0.00011,5e-05,5e-05,4e-05,3e-05,4e-05,2e-05,3e-05,8e-05,5e-05,0.00011,1e-05,2e-05,2e-05,2e-05,7e-05,4e-05,0.00044,0.00022,7e-05,2e-05,1e-05,3e-05,1e-05,0.00011
"1920116",1e-05,0,0,1e-05,1e-05,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,1e-05,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,1e-05,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"343",6e-05,1e-05,0,1e-05,1e-05,2e-05,1e-05,0,1e-05,0,0,6e-05,4e-05,0,0,1e-05,3e-05,1e-05,4e-05,0,7e-05,0,0,0,1e-05,0,0,0,2e-05,5e-05,1e-05,3e-05,6e-05,3e-05,2e-05,0,4e-05,1e-05,4e-05,1e-04,0,0,1e-05,8e-05,1e-05,0,1e-05,0,0,1e-05,2e-05,1e-05,0,0.00018,6e-05,2e-05,2e-05,1e-05,1e-05,0,4e-05
"443143",0,0,0,1e-05,1e-05,0.00011,1e-05,1e-05,1e-05,0,0,2e-05,4e-05,0,0,0,5e-05,1e-05,0,0,1e-05,0,0,0,1e-05,0,1e-05,1e-05,2e-05,3e-05,2e-05,3e-05,0,1e-05,2e-05,1e-05,0.00021,0,0,1e-05,1e-05,1e-05,0,0.00068,2e-05,1e-05,1e-05,0,1e-05,2e-05,4e-05,1e-05,1e-05,0,0,3e-05,1e-05,1e-05,2e-05,2e-05,3e-05
"2419841",4e-05,0,0,2e-05,1e-05,0,0,0,1e-05,0,0,0,0,0,0,0,0,1e-05,0,0,3e-05,0,0,0,1e-05,0,0,1e-05,1e-05,0,0,4e-05,0,0,1e-05,1e-05,2e-05,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0,1e-05,0,0,0,0
"191026",0,0,1e-05,0,0,0,1e-05,0,0,1e-05,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,1e-05,0,0,0,0,0,0,0,1e-05,0,0,1e-05,0,2e-05,0,1e-05,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,2e-05
"443144",3e-05,1e-05,1e-05,0,0,2e-05,0,0,0,2e-05,0,0,0,0,0,0,2e-05,0,0,0,2e-05,0,0,0,1e-05,1e-05,0,0,0,0,2e-05,1e-05,4e-05,0,1e-05,1e-05,1e-05,1e-05,0,0,0,1e-05,0,0.00136,1e-05,1e-05,1e-05,0,1e-05,0,1e-05,1e-05,1e-05,1e-05,4e-05,1e-05,1e-05,1e-05,0,1e-05,0
"451876",8e-05,4e-05,2e-05,2e-05,1e-05,2e-05,1e-05,2e-05,3e-05,3e-05,2e-05,5e-05,3e-05,1e-05,2e-05,3e-05,2e-05,3e-05,4e-05,2e-05,5e-05,2e-05,1e-05,2e-05,1e-05,2e-05,1e-05,2e-05,3e-05,3e-05,6e-05,5e-05,1e-05,1e-05,4e-05,2e-05,3e-05,3e-05,7e-05,4e-05,2e-05,2e-05,0.00015,3e-05,3e-05,3e-05,1e-05,1e-05,2e-05,2e-05,3e-05,3e-05,3e-05,3e-05,0.00012,3e-05,2e-05,1e-05,2e-05,0.00014,7e-05
"2052956",0,0,0,0,0,4e-05,0,0,0,1e-05,0,1e-05,0,0,0,0,2e-05,0,0,0,0,0,0,0,1e-05,0,0,0,0,1e-05,0,1e-05,1e-05,1e-05,0,0,0,0,0,4e-05,0,0,0,2e-05,0,0,0,0,0,1e-05,0,0,0,0,8e-05,0,0,0,0,0,1e-05
"138336",0.00045,0.00224,0.00274,0.00965,0.0095,0.0058,0.00224,0.00995,0.01538,0.00424,0.013,0.00466,0.00252,0.00301,0.00537,0.00109,0.00354,0.01164,0.00377,0.00547,0.00022,0.008,0.00354,0.00619,0.0037,0.00985,5e-04,0.00973,0.00674,0.00442,0.01875,0.00923,0.00578,0.02449,0.00559,0.01247,0.00293,0.01112,0.00711,0.00158,0.01149,0.00698,0.00753,0.00072,0.00894,0.00599,0.01636,0.00135,0.01292,0.01048,0.00781,0.0143,0.01284,0.00142,0.00158,0.01665,0.0096,0.02456,0.00248,0.00534,0.00632
"162426",0.00038,6e-05,5e-05,0.00012,0.00014,0.00027,8e-05,0.00012,0.00013,8e-05,0.00012,0.00011,0.00011,9e-05,9e-05,3e-05,7e-05,0.00016,1e-04,9e-05,4e-05,0.00012,6e-05,0.00011,8e-05,9e-05,1e-05,0.00013,0.00012,0.00019,0.00035,7e-05,0.00012,0.00016,0.00015,0.00013,0.00015,0.00017,0.00013,0.00016,0.00016,0.00013,4e-04,8e-05,0.00014,0.00012,0.00031,3e-05,0.00013,0.00011,0.00016,0.00012,0.00017,5e-05,0.00015,0.00022,0.00013,9e-05,0,0.00015,0.00012
"1190415",7e-05,2e-05,1e-05,1e-05,1e-05,0.00013,3e-05,1e-05,6e-05,2e-05,1e-05,5e-05,0.00024,1e-05,2e-05,2e-05,2e-05,1e-05,3e-05,2e-05,0.00011,1e-05,1e-05,1e-05,1e-05,1e-05,0,2e-05,2e-05,3e-05,2e-05,1e-05,7e-05,8e-05,3e-05,2e-05,1e-04,2e-05,8e-05,2e-04,1e-05,1e-05,0,6e-05,1e-05,2e-05,0,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,0.00014,5e-05,2e-05,2e-05,1e-05,7e-05,2e-05,0.00012
"565560",0.00056,0,0,0,0,0.00017,0,0,4e-05,0,0,3e-05,0,0,0,0,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4932",0.00039,7e-05,0.00015,5e-05,6e-05,1e-04,1e-04,0.00021,1e-04,0.00012,7e-05,2e-04,0.00032,0.00012,0.00028,0.00011,0.00026,8e-05,0.00026,0.00029,1e-04,0.00021,0.00015,2e-04,8e-05,0.00033,3e-04,0.00018,0.00014,0.00024,7e-05,0.00019,0.00012,8e-05,0.00017,4e-05,0.00032,0.00025,0.00032,0.00022,1e-04,6e-04,3e-05,6e-05,7e-05,0.00025,7e-05,0.00015,0.00031,6e-05,0.00022,0.00015,0.00014,0.00028,0.00012,1e-04,0.00031,0.00017,0.00027,1e-04,6e-05
"1008",0,3e-05,2e-05,2e-05,2e-05,4e-05,2e-05,1e-05,3e-05,2e-05,2e-05,2e-05,2e-05,3e-05,1e-05,0,4e-05,3e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,2e-05,5e-05,1e-05,1e-05,0.00022,3e-05,1e-05,1e-05,1e-05,0,5e-05,2e-05,2e-05,6e-05,0,2e-05,4e-05,2e-05,1e-05,2e-05,3e-05,1e-05,2e-05,2e-05,0,0,0.00018,2e-05,0,2e-05,5e-05,2e-05
"1402135",8e-05,3e-05,9e-05,0.00026,0.00025,9e-05,7e-05,0.00026,0.00026,3e-05,0.00022,9e-05,0.00048,0.00024,0.00013,4e-05,0.00016,0.00027,0.00012,0.00013,0.00013,2e-04,8e-05,0.00014,0.00015,0.00022,1e-05,0.00022,0.00019,0.00013,6e-05,0.00033,2e-04,0.00018,0.00015,0.00023,0.00018,0.00024,6e-05,0.00014,0.00025,0.00018,0.00038,6e-05,0.00024,2e-04,0.00046,3e-05,0.00029,2e-04,0.00042,0.00029,0.00027,0.00013,2e-04,0.00092,0.00021,7e-05,0.00013,0.00024,5e-05
"2153354",2e-05,2e-05,0,1e-05,0,1e-05,0,0,0,0,0,2e-05,0,0,0,0,4e-05,1e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,6e-05,4e-05,0,1e-05,0,4e-05,1e-05,0,4e-05,0,0,0,2e-05,0,0,0,0,0,0,0,0,0,9e-05,0,1e-05,0,1e-05,2e-05,0,6e-05
"2069432",3e-05,0,0,0,0,1e-05,0,0,0,0,0,0,1e-05,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,5e-05,0,0,5e-05,0,0,0,0,0,0,1e-05,0,0,1e-05,1e-05,0,0,3e-05,0,0,0,1e-05,2e-05,0,0
"1536769",5e-05,0,0,0,0,0,1e-05,0,0,0,0,1e-05,0,0,0,2e-05,1e-05,0,1e-05,0,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,3e-05,0,0,2e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0
"313590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0
"1472345",3e-05,0,2e-05,1e-05,1e-05,0,0.00011,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,1e-05,0,0,2e-05,0,1e-05,0,1e-05,1e-05,1e-05,3e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,2e-05,0,1e-05,1e-05,1e-05,6e-05,2e-05,2e-05,0,2e-05,1e-05,1e-05,0,1e-05,2e-05,3e-05,1e-05,1e-05,0,2e-05,1e-05,1e-05,0,0,1e-05,1e-05,0,2e-05,1e-05,1e-05
"1649184",0,1e-05,0,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,6e-05,4e-05,0,3e-05,1e-05,2e-05,0,3e-05,2e-05,2e-05,1e-05,5e-05,2e-05,1e-05,2e-05,1e-05,2e-05,0,2e-05,2e-05,2e-05,1e-05,0,3e-05,5e-05,2e-05,3e-05,1e-05,2e-05,2e-05,2e-05,3e-05,2e-05,2e-05,3e-05,2e-05,2e-05,3e-05,0,3e-05,5e-05,0,2e-05,3e-05,0,7e-05,3e-05,3e-05,1e-05,0,1e-05,6e-05
"1936029",6e-05,2e-05,0,0,1e-05,2e-05,2e-05,0,0,3e-05,0,1e-05,0,1e-05,0,2e-05,1e-05,1e-05,4e-05,0,5e-05,0,0,0,1e-05,0,0,0,1e-05,1e-05,1e-05,2e-05,5e-05,2e-05,1e-05,0,3e-05,3e-05,2e-05,3e-05,1e-05,0,6e-05,3e-05,0,0,2e-05,0,0,1e-05,1e-05,1e-05,0,7e-05,3e-05,1e-05,0,2e-05,3e-05,1e-05,2e-05
"1812480",0,0,0,1e-05,1e-05,0,1e-05,0,0,2e-05,0,1e-05,0,0,0,1e-05,1e-05,0,4e-05,0,3e-05,0,0,0,1e-05,0,0,0,1e-05,0,1e-05,1e-05,4e-05,0,0,0,4e-05,0,5e-05,3e-05,0,0,0,2e-05,0,0,1e-05,0,0,0,1e-05,0,0,0,4e-05,1e-05,0,1e-05,0,1e-05,0
"2488665",1e-05,0,0,1e-05,1e-05,0,1e-05,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,2e-05,1e-05,0,1e-05,4e-05,1e-05,0,2e-05,1e-05,1e-05,0,1e-05,0,3e-05,0,0,8e-05,0,2e-05,0,5e-05,2e-05,1e-05,3e-05,2e-05,1e-05,2e-05,0,1e-05,1e-05,1e-05,0,1e-05,2e-05,2e-05,1e-05,1e-05,0.00016,3e-05,2e-05,2e-05,1e-05,2e-05,3e-05,0
"643674",0,6e-05,0.00017,0.00017,0.00017,5e-05,0.00039,0.00016,1e-04,0.00026,0.00029,0,0,0.00017,0.00014,9e-05,1e-05,0.00012,0.00012,0.00014,2e-05,0.00017,0.00011,0.00012,0.00165,0.00026,3e-05,0.00021,0.00016,0.00035,1e-04,9e-05,6e-05,6e-05,0.00015,0.00012,9e-05,0.00013,1e-05,1e-05,0.00025,0.00024,0.00011,0.00014,0.00021,0.00016,0.00011,8e-05,0.00015,1e-04,0.00011,0.00012,0.00016,0.00012,0,4e-05,2e-04,4e-05,1e-04,6e-05,4e-05
"2202249",7e-05,3e-05,3e-05,8e-05,7e-05,0.00013,5e-05,7e-05,5e-05,4e-05,8e-05,5e-05,9e-05,3e-05,4e-05,0,4e-05,7e-05,6e-05,4e-05,2e-05,5e-05,2e-05,5e-05,3e-05,4e-05,1e-05,7e-05,4e-05,0.00012,5e-05,6e-05,9e-05,6e-05,7e-05,8e-05,0,3e-05,9e-05,0.00022,6e-05,5e-05,3e-05,1e-05,7e-05,7e-05,7e-05,1e-05,7e-05,8e-05,0.00012,8e-05,8e-05,5e-05,6e-05,9e-05,6e-05,2e-05,4e-05,3e-05,4e-05
"1161942",4e-05,3e-05,0.00077,0.00023,0.00022,0.00012,5e-05,0.00023,8e-05,3e-05,0.00015,5e-05,6e-05,0.00022,3e-04,2e-05,5e-05,0.00016,6e-05,0.00036,0,0.00048,0.00115,0.00031,6e-05,0.00051,2e-05,0.00019,0.00018,0.00037,5e-05,0.00032,7e-05,2e-05,0.00017,2e-04,9e-05,0.00017,0.00014,5e-05,0.00026,0.00041,3e-05,0.00016,0.00015,0.00054,0.00013,0.00362,0.00022,0.00013,8e-05,0.00015,0.00013,0,2e-05,8e-05,0.00022,5e-05,0,8e-05,6e-05
