ID,SampleType,SampleID,Trim,TrimType
ENVHA_332767116_trim25_num,ENVHA,332767116,trim25,num
ENVHA_332767116_trim25_frac,ENVHA,332767116,trim25,frac
ENVHA_332767116_trim30_num,ENVHA,332767116,trim30,num
ENVHA_332767116_trim30_frac,ENVHA,332767116,trim30,frac
ENVHA_332767131_trim25_num,ENVHA,332767131,trim25,num
ENVHA_332767131_trim25_frac,ENVHA,332767131,trim25,frac
ENVHA_332767131_trim30_num,ENVHA,332767131,trim30,num
ENVHA_332767131_trim30_frac,ENVHA,332767131,trim30,frac
ENVHA_332767142_trim25_num,ENVHA,332767142,trim25,num
ENVHA_332767142_trim25_frac,ENVHA,332767142,trim25,frac
ENVHA_332767142_trim30_num,ENVHA,332767142,trim30,num
ENVHA_332767142_trim30_frac,ENVHA,332767142,trim30,frac
ENVHA_332767164_trim25_num,ENVHA,332767164,trim25,num
ENVHA_332767164_trim25_frac,ENVHA,332767164,trim25,frac
ENVHA_332767164_trim30_num,ENVHA,332767164,trim30,num
ENVHA_332767164_trim30_frac,ENVHA,332767164,trim30,frac
ENVHA_332767240_trim25_num,ENVHA,332767240,trim25,num
ENVHA_332767240_trim25_frac,ENVHA,332767240,trim25,frac
ENVHA_332767240_trim30_num,ENVHA,332767240,trim30,num
ENVHA_332767240_trim30_frac,ENVHA,332767240,trim30,frac
ENVHA_332767265_trim25_num,ENVHA,332767265,trim25,num
ENVHA_332767265_trim25_frac,ENVHA,332767265,trim25,frac
ENVHA_332767265_trim30_num,ENVHA,332767265,trim30,num
ENVHA_332767265_trim30_frac,ENVHA,332767265,trim30,frac
ENVHA_332767281_trim25_num,ENVHA,332767281,trim25,num
ENVHA_332767281_trim25_frac,ENVHA,332767281,trim25,frac
ENVHA_332767281_trim30_num,ENVHA,332767281,trim30,num
ENVHA_332767281_trim30_frac,ENVHA,332767281,trim30,frac
ENVHA_332767798_trim25_num,ENVHA,332767798,trim25,num
ENVHA_332767798_trim25_frac,ENVHA,332767798,trim25,frac
ENVHA_332767798_trim30_num,ENVHA,332767798,trim30,num
ENVHA_332767798_trim30_frac,ENVHA,332767798,trim30,frac
ENVHA_332767811_trim25_num,ENVHA,332767811,trim25,num
ENVHA_332767811_trim25_frac,ENVHA,332767811,trim25,frac
ENVHA_332767811_trim30_num,ENVHA,332767811,trim30,num
ENVHA_332767811_trim30_frac,ENVHA,332767811,trim30,frac
ENVHA_332767828_trim25_num,ENVHA,332767828,trim25,num
ENVHA_332767828_trim25_frac,ENVHA,332767828,trim25,frac
ENVHA_332767828_trim30_num,ENVHA,332767828,trim30,num
ENVHA_332767828_trim30_frac,ENVHA,332767828,trim30,frac
ENVHA_332767854_trim25_num,ENVHA,332767854,trim25,num
ENVHA_332767854_trim25_frac,ENVHA,332767854,trim25,frac
ENVHA_332767854_trim30_num,ENVHA,332767854,trim30,num
ENVHA_332767854_trim30_frac,ENVHA,332767854,trim30,frac
ENVHA_332769255_trim25_num,ENVHA,332769255,trim25,num
ENVHA_332769255_trim25_frac,ENVHA,332769255,trim25,frac
ENVHA_332769255_trim30_num,ENVHA,332769255,trim30,num
ENVHA_332769255_trim30_frac,ENVHA,332769255,trim30,frac
ENVHA_332769263_trim25_num,ENVHA,332769263,trim25,num
ENVHA_332769263_trim25_frac,ENVHA,332769263,trim25,frac
ENVHA_332769263_trim30_num,ENVHA,332769263,trim30,num
ENVHA_332769263_trim30_frac,ENVHA,332769263,trim30,frac
ENVHA_332769282_trim25_num,ENVHA,332769282,trim25,num
ENVHA_332769282_trim25_frac,ENVHA,332769282,trim25,frac
ENVHA_332769282_trim30_num,ENVHA,332769282,trim30,num
ENVHA_332769282_trim30_frac,ENVHA,332769282,trim30,frac
ENVHA_332769330_trim25_num,ENVHA,332769330,trim25,num
ENVHA_332769330_trim25_frac,ENVHA,332769330,trim25,frac
ENVHA_332769330_trim30_num,ENVHA,332769330,trim30,num
ENVHA_332769330_trim30_frac,ENVHA,332769330,trim30,frac
ENVHA_332769475_trim25_num,ENVHA,332769475,trim25,num
ENVHA_332769475_trim25_frac,ENVHA,332769475,trim25,frac
ENVHA_332769475_trim30_num,ENVHA,332769475,trim30,num
ENVHA_332769475_trim30_frac,ENVHA,332769475,trim30,frac
ENVHA_332770127_trim25_num,ENVHA,332770127,trim25,num
ENVHA_332770127_trim25_frac,ENVHA,332770127,trim25,frac
ENVHA_332770127_trim30_num,ENVHA,332770127,trim30,num
ENVHA_332770127_trim30_frac,ENVHA,332770127,trim30,frac
ENVHA_332773187_trim25_num,ENVHA,332773187,trim25,num
ENVHA_332773187_trim25_frac,ENVHA,332773187,trim25,frac
ENVHA_332773187_trim30_num,ENVHA,332773187,trim30,num
ENVHA_332773187_trim30_frac,ENVHA,332773187,trim30,frac
ENVHA_332773976_trim25_num,ENVHA,332773976,trim25,num
ENVHA_332773976_trim25_frac,ENVHA,332773976,trim25,frac
ENVHA_332773976_trim30_num,ENVHA,332773976,trim30,num
ENVHA_332773976_trim30_frac,ENVHA,332773976,trim30,frac
ENVHA_332774160_trim25_num,ENVHA,332774160,trim25,num
ENVHA_332774160_trim25_frac,ENVHA,332774160,trim25,frac
ENVHA_332774160_trim30_num,ENVHA,332774160,trim30,num
ENVHA_332774160_trim30_frac,ENVHA,332774160,trim30,frac
ENVHA_338311314_trim25_num,ENVHA,338311314,trim25,num
ENVHA_338311314_trim25_frac,ENVHA,338311314,trim25,frac
ENVHA_338311314_trim30_num,ENVHA,338311314,trim30,num
ENVHA_338311314_trim30_frac,ENVHA,338311314,trim30,frac
ENVHA_338312231_trim25_num,ENVHA,338312231,trim25,num
ENVHA_338312231_trim25_frac,ENVHA,338312231,trim25,frac
ENVHA_338312231_trim30_num,ENVHA,338312231,trim30,num
ENVHA_338312231_trim30_frac,ENVHA,338312231,trim30,frac
ENVHA_338312232_trim25_num,ENVHA,338312232,trim25,num
ENVHA_338312232_trim25_frac,ENVHA,338312232,trim25,frac
ENVHA_338312232_trim30_num,ENVHA,338312232,trim30,num
ENVHA_338312232_trim30_frac,ENVHA,338312232,trim30,frac
ENVHA_338312247_trim25_num,ENVHA,338312247,trim25,num
ENVHA_338312247_trim25_frac,ENVHA,338312247,trim25,frac
ENVHA_338312247_trim30_num,ENVHA,338312247,trim30,num
