domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_frac CRR125950_0.90.bracken_frac CRR125950_0.95.bracken_frac CRR125950_0.99.bracken_frac CRR125950_0.bracken_frac CRR125950_1.bracken_frac 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Ramlibacter Ramlibacter tataouinensis 94132 	2 3 3 2 1 2 
Eukaryota Ascomycota Sordariomycetes Magnaporthales Pyriculariaceae Pyricularia Pyricularia grisea 148305 	1 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bartonellaceae Bartonella Bartonella apis 1686310 	2 2 1 1 1 1 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella Prevotella sp. oral 	299 S 0.00016 0.00016 0.00020 0.00029 0.00103 0.00030 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium vivax 5855 	1 0 0 0 149 0 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae Actinopolymorpha Actinopolymorpha singaporensis 117157 	1 0 0 0 11 0 
Bacteria Proteobacteria Gammaproteobacteria NA NA NA Gammaproteobacteria bacterium DM2 	S 0.00005 0.00012 0.00010 0.00014 0.00002 0.00008 
Bacteria Thermotogae Thermotogae Petrotogales Petrotogaceae Marinitoga Marinitoga piezophila 149715 	2 6 6 7 1 8 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Pichiaceae Ogataea Ogataea parapolymorpha 1005962 	3 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae NA Bradyrhizobiaceae bacterium SG-6C 	S 0.00016 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga sputigena 1019 	103 0 0 0 243 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Halarcobacter Halarcobacter bivalviorum 663364 	2 3 3 1 1 1 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Capnocytophaga Capnocytophaga gingivalis 1017 	13 0 0 0 58 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Brucellaceae Ochrobactrum Ochrobactrum anthropi 529 	18517 3141 1702 1338 12378 1406 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Hydrogenophaga Hydrogenophaga sp. NH-16 	S 0.00169 0.00126 0.00121 0.00179 0.00590 0.00219 
