domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_frac CRR125950_0.90.bracken_frac CRR125950_0.95.bracken_frac CRR125950_0.99.bracken_frac CRR125950_0.bracken_frac CRR125950_1.bracken_frac 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Tamlana Tamlana sp. UJ94 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus sp. FSL 	1536769 0 0 0 0 2 0 
Bacteria Bacteroidetes Sphingobacteriia Sphingobacteriales Sphingobacteriaceae Pedobacter Pedobacter cryoconitis 188932 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium formicaceticum 1497 	0 0 0 0 2 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Hathewaya Hathewaya histolytica 1498 	0 0 0 0 3 0 
Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Ruminococcus Ruminococcus albus 1264 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces sp. fd1-xmd 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Eukaryota NA Cryptophyceae Cryptomonadales Cryptomonadaceae Cryptomonas Cryptomonas paramecium 2898 	0 0 0 0 5 0 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Marinobacter Marinobacter sp. NP-4(2019) 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Gracilibacillus Gracilibacillus sp. SCU50 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Lachnospira Lachnospira eligens 39485 	0 0 0 0 9 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Rhodobacter Rhodobacter sphaeroides 1063 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Tenacibaculum Tenacibaculum dicentrarchi 669041 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae NA Peptostreptococcaceae bacterium oral 	929 S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus anthracis 1392 	0 0 0 0 14 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Pelagibaca Pelagibaca abyssi 1250539 	0 0 0 0 152 0 
Bacteria Proteobacteria Betaproteobacteria NA NA Candidatus Kinetoplastibacterium Candidatus Kinetoplastibacterium 	233181 0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Kosakonia Kosakonia arachidis 551989 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Sediminicola Sediminicola sp. YIK13 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus amyloliquefaciens 1390 	0 0 0 0 2 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium malariae 5858 	0 0 0 0 5 0 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae Bacteroides Bacteroides intestinalis 329854 	0 0 0 0 3 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Oceanobacillus Oceanobacillus kimchii 746691 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae Rhodospirillum Rhodospirillum rubrum 1085 	0 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter concisus 199 	0 0 0 0 12 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter hyointestinalis 198 	0 0 0 0 2 0 
Bacteria Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae Intestinibaculum Intestinibaculum porci 2487118 	0 0 0 0 2 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter coli 195 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium camelliae 1265445 	0 0 0 0 14 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter fetus 196 	0 0 0 0 1 0 
Bacteria Bacteroidetes Cytophagia Cytophagales Cytophagaceae Runella Runella sp. HYN0085 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Deinococcus-Thermus Deinococci Thermales Thermaceae Thermus Thermus thermophilus 274 	0 0 0 0 3 0 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Butyrivibrio Butyrivibrio proteoclasticus 43305 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Acetobacterium Acetobacterium woodii 33952 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Labrys Labrys neptuniae 376174 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Muriicola Muriicola sp. MMS17-SY002 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus johnsonii 33959 	0 0 0 0 5 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Peribacillus Peribacillus butanolivorans 421767 	0 0 0 0 2 0 
Bacteria Firmicutes Clostridia Halanaerobiales Halanaerobiaceae Halanaerobium Halanaerobium hydrogeniformans 656519 	0 0 0 0 1 0 
Viruses Nucleocytoviricota Megaviricetes Pimascovirales Iridoviridae Iridovirus Invertebrate iridescent virus 	345199 0 0 0 0 3 0 
Bacteria Firmicutes Bacilli Bacillales Planococcaceae Sporosarcina Sporosarcina ureilytica 298596 	0 0 0 0 1 0 
Bacteria Cyanobacteria NA Nostocales Scytonemataceae Scytonema Scytonema sp. HK-05 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Gammaproteobacteria NA NA NA Candidatus Baumannia cicadellinicola 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus curvatus 28038 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Halanaerobiales Halobacteroidaceae Halobacteroides Halobacteroides halobius 42422 	0 0 0 0 9 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Microbacteriaceae Microbacterium Microbacterium sp. L-031 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium commune 1306519 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces tsukubensis 83656 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter soli 487316 	0 0 0 0 1 0 
Bacteria Proteobacteria Deltaproteobacteria Myxococcales Labilitrichaceae Labilithrix Labilithrix luteola 1391654 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Phyllobacteriaceae Mesorhizobium Mesorhizobium oceanicum 1670800 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Aquimarina Aquimarina sp. BL5 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae Herbaspirillum Herbaspirillum huttiense 863372 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Tardibacter Tardibacter chloracetimidivorans 1921510 	0 0 0 0 1251 0 
Bacteria Bacteroidetes Sphingobacteriia Sphingobacteriales Sphingobacteriaceae Sphingobacterium Sphingobacterium mizutaii 1010 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus mycoides 1405 	0 0 0 0 2 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Paraburkholderia Paraburkholderia sp. CCGE1002 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter venetianus 52133 	0 0 0 0 16 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Trichomonascaceae Sugiyamaella Sugiyamaella lignohabitans 796027 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae Azospirillum Azospirillum thermophilum 2202148 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus Streptococcus dysgalactiae 1334 	0 0 0 0 136 0 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Propionibacteriaceae Propionimicrobium Propionimicrobium sp. Marseille-P3275 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Thiotrichales Piscirickettsiaceae Piscirickettsia Piscirickettsia salmonis 1238 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium sp. HYN0086 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Dysgonomonadaceae Fermentimonas Fermentimonas caenicola 1562970 	0 0 0 0 44 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Arenibacter Arenibacter algicola 616991 	0 0 0 0 1 0 
Bacteria Proteobacteria Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulfatibacillum Desulfatibacillum aliphaticivorans 218208 	0 0 0 0 1 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium chabaudi 5825 	0 0 0 0 3 0 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Pseudoalteromonadaceae Pseudoalteromonas Pseudoalteromonas translucida 166935 	0 0 0 0 1 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Debaryomycetaceae Candida Candida dubliniensis 42374 	0 0 0 0 16 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas saudiphocaensis 1499686 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae Pimelobacter Pimelobacter simplex 2045 	0 0 0 0 4 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Alkalihalobacillus Alkalihalobacillus halodurans 86665 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Polaromonas Polaromonas sp. JS666 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Acetoanaerobium Acetoanaerobium sticklandii 1511 	0 0 0 0 3 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Liberibacter Candidatus Liberibacter africanus 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Firmicutes Clostridia Clostridiales Hungateiclostridiaceae Thermoclostridium Thermoclostridium stercorarium 1510 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Liberibacter Candidatus Liberibacter asiaticus 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Debaryomycetaceae Debaryomyces Debaryomyces hansenii 4959 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Leuconostoc Leuconostoc mesenteroides 1245 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Leuconostoc Leuconostoc gelidum 1244 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces nigra 1827580 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium aureum 2497456 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus chitinolyticus 79263 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Oceanospirillales Hahellaceae Hahella Hahella sp. KA22 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Arcobacter Arcobacter pacificus 1080223 	0 0 0 0 1 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium ljungdahlii 1538 	0 0 0 0 1 0 
Eukaryota Ascomycota Sordariomycetes Magnaporthales Pyriculariaceae Pyricularia Pyricularia pennisetigena 1578925 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Virgibacillus Virgibacillus phasianinus 2017483 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Polaribacter Polaribacter sp. ALD11 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces roseochromogenus 285450 	0 0 0 0 1 0 
Bacteria Spirochaetes Spirochaetia Leptospirales Leptospiraceae Leptospira Leptospira tipperaryensis 2564040 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Micrococcales Microbacteriaceae Microbacterium Microbacterium amylolyticum 936337 	0 0 0 0 2 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter Acinetobacter sp. TGL-Y2 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Viruses Nucleocytoviricota Megaviricetes Imitervirales Mimiviridae Cafeteriavirus Cafeteria roenbergensis virus 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Cytophagia Cytophagales Flammeovirgaceae Flammeovirga Flammeovirga sp. MY04 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rickettsiales NA NA Rickettsiales endosymbiont of 	lipophora S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Intrasporangiaceae Ornithinimicrobium Ornithinimicrobium sp. H23M54 	S 0.00000 0.00000 0.00000 0.00000 0.00087 0.00000 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Eremothecium Eremothecium sinecaudum 45286 	0 0 0 0 6 0 
Bacteria Firmicutes Clostridia Clostridiales Clostridiaceae Clostridium Clostridium chauvoei 46867 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Macrococcus Macrococcus canis 1855823 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces bacillaris 68179 	0 0 0 0 2 0 
Bacteria Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae Fusobacterium Fusobacterium nucleatum 851 	0 0 0 0 8 0 
Bacteria Firmicutes Tissierellia Tissierellales Peptoniphilaceae Parvimonas Parvimonas micra 33033 	0 0 0 0 3 0 
Archaea Euryarchaeota Methanomicrobia Methanosarcinales Methanosarcinaceae Methanosarcina Methanosarcina mazei 2209 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Streptomycetales Streptomycetaceae Streptomyces Streptomyces spongiicola 1690221 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Tenacibaculum Tenacibaculum jejuense 584609 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria NA NA NA gamma proteobacterium HdN1 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Providencia Providencia heimbachae 333962 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium nackdongense 2547394 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium kutscheri 35755 	0 0 0 0 59 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma suis 57372 	0 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae NA Arcobacter sp. LPB0137 	S 0.00000 0.00000 0.00000 0.00000 0.00007 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium sp. ORS 	167468 0 0 0 0 2 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma bovoculi 45362 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Chryseobacterium Chryseobacterium sp. 6424 	S 0.00000 0.00000 0.00000 0.00000 0.00082 0.00000 
Bacteria Proteobacteria Gammaproteobacteria NA NA Candidatus Nardonella Candidatus Nardonella 	1971485 0 0 0 0 1 0 
Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales Campylobacteraceae Campylobacter Campylobacter cuniculorum 374106 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Bacillales Planococcaceae Solibacillus Solibacillus sp. R5-41 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium yoelii 5861 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Methylobacteriaceae Methylobacterium Methylobacterium sp. 17Sr1-1 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Firmicutes Bacilli Bacillales Listeriaceae Listeria Listeria sp. PSOL-1 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Weeksellaceae Elizabethkingia Elizabethkingia anophelis 1117645 	0 0 0 0 4 0 
Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Cellulosilyticum Cellulosilyticum lentocellum 29360 	0 0 0 0 2 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Erwinia Candidatus Erwinia haradaeae 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Planctomycetes NA NA NA NA Planctomycetes bacterium KS4 	S 0.00000 0.00000 0.00000 0.00000 0.00179 0.00000 
Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Hydrogenophaga Hydrogenophaga sp. BPS33 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas Sphingomonas sp. C8-2 	S 0.00000 0.00000 0.00000 0.00000 0.06655 0.00000 
Bacteria Actinobacteria Actinobacteria Pseudonocardiales Pseudonocardiaceae Amycolatopsis Amycolatopsis orientalis 31958 	0 0 0 0 1 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma phocirhinis 142650 	0 0 0 0 1 0 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma phocidae 142651 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus sanfranciscensis 1625 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus Lactobacillus salivarius 1624 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Yersiniaceae Yersinia Yersinia aleksiciae 263819 	0 0 0 0 1 0 
Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Weissella Weissella viridescens 1629 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Nocardiaceae Nocardia Nocardia sp. CFHS0054 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Brucellaceae Brucella Brucella microti 444163 	0 0 0 0 58 0 
Bacteria Proteobacteria Epsilonproteobacteria NA NA Sulfurovum Sulfurovum lithotrophicum 206403 	0 0 0 0 1 0 
Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales Geobacteraceae Geobacter Geobacter sp. M21 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Eukaryota Ascomycota Sordariomycetes Sordariales Chaetomiaceae Thermothielavioides Thermothielavioides terrestris 2587410 	0 0 0 0 1 0 
Eukaryota Apicomplexa Aconoidasida Haemosporida Plasmodiidae Plasmodium Plasmodium sp. gorilla 	G2 S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium psychrophilum 96345 	0 0 0 0 5 0 
Bacteria Planctomycetes NA NA NA NA Planctomycetes bacterium K23_9 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Spirochaetes Spirochaetia Brachyspirales Brachyspiraceae Brachyspira Brachyspira murdochii 84378 	0 0 0 0 2 0 
Bacteria Tenericutes Mollicutes Entomoplasmatales Spiroplasmataceae Spiroplasma Spiroplasma taiwanense 2145 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Providencia Providencia sp. WCHPHu000369 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium ureicelerivorans 401472 	0 0 0 0 10 0 
Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Pasteurella Pasteurella multocida 747 	0 0 0 0 4 0 
Bacteria Spirochaetes Spirochaetia Spirochaetales Borreliaceae Borrelia Borrelia miyamotoi 47466 	0 0 0 0 7 0 
Bacteria Firmicutes Clostridia Clostridiales Hungateiclostridiaceae Fastidiosipila Fastidiosipila sanguinis 236753 	0 0 0 0 1 0 
Bacteria Cyanobacteria NA Chroococcales Chroococcaceae Gloeocapsa Gloeocapsa sp. PCC 	1173026 0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae Enterobacter Enterobacter cloacae 550 	0 0 0 0 2 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Erwiniaceae Pantoea Pantoea ananatis 553 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium columnare 996 	0 0 0 0 229 0 
Bacteria Cyanobacteria NA Oscillatoriales Coleofasciculaceae Geitlerinema Geitlerinema sp. PCC 	1173025 0 0 0 0 3 0 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas entomophila 312306 	0 0 0 0 1 0 
Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Neisseria Neisseria subflava 28449 	0 0 0 0 97 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Yersiniaceae Yersinia Yersinia entomophaga 935293 	0 0 0 0 2 0 
Bacteria Actinobacteria Actinobacteria Frankiales Frankiaceae Frankia Frankia inefficax 298654 	0 0 0 0 2 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Brucellaceae Brucella Brucella abortus 235 	0 0 0 0 3805 0 
Bacteria Firmicutes Bacilli Lactobacillales Enterococcaceae Enterococcus Enterococcus wangshanyuanii 2005703 	0 0 0 0 1 0 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Methylobacteriaceae Microvirga Microvirga sp. HR1 	S 0.00000 0.00000 0.00000 0.00000 0.00042 0.00000 
Bacteria Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae Ilyobacter Ilyobacter polytropus 167642 	0 0 0 0 3 0 
Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Thioclava Thioclava nitratireducens 1915078 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae Xenorhabdus Xenorhabdus hominickii 351679 	0 0 0 0 1 0 
Bacteria Cyanobacteria NA Nostocales Calotrichaceae Calothrix Calothrix brevissima 938406 	0 0 0 0 5 0 
Eukaryota Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Aspergillus Aspergillus oryzae 5062 	0 0 0 0 4 0 
Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Alteromonas Alteromonas mediterranea 314275 	0 0 0 0 1 0 
Bacteria Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Flavobacterium Flavobacterium sp. 140616W15 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Actinobacteria Actinobacteria Bifidobacteriales Bifidobacteriaceae Bifidobacterium Bifidobacterium pseudolongum 1694 	0 0 0 0 30 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Corynebacteriaceae Corynebacterium Corynebacterium sp. NML98-0116 	S 0.00000 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Phyllobacteriaceae Mesorhizobium Mesorhizobium amorphae 71433 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Mycobacteriaceae Mycolicibacterium Mycolicibacterium aurum 1791 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Propionibacteriales Propionibacteriaceae Pseudopropionibacterium Pseudopropionibacterium propionicum 1750 	0 0 0 0 2 0 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus donghaensis 414771 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Enterobacterales Yersiniaceae Serratia Serratia odorifera 618 	0 0 0 0 1 0 
Bacteria Proteobacteria Gammaproteobacteria Oceanospirillales Oceanospirillaceae Nitrincola Nitrincola sp. KXZD1103 	S 0.00000 0.00000 0.00000 0.00000 0.00002 0.00000 
Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas Pseudomonas sp. S150 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Spirochaetes Spirochaetia Spirochaetales Borreliaceae Borrelia Borrelia hermsii 140 	0 0 0 0 1 0 
Bacteria Actinobacteria Actinobacteria Corynebacteriales Gordoniaceae Gordonia Gordonia sp. JH63 	S 0.00000 0.00000 0.00000 0.00000 0.00005 0.00000 
Bacteria Actinobacteria Actinobacteria Micrococcales Micrococcaceae Micrococcus Micrococcus luteus 1270 	0 0 0 0 2 0 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Debaryomycetaceae Candida Candida orthopsilosis 273371 	0 0 0 0 3 0 
