domain	phylum	class	order	family	genus	species	tax_id	tax_level	CRR125950_0.5.bracken_num	CRR125950_0.5.bracken_frac	CRR125950_0.90.bracken_num	CRR125950_0.90.bracken_frac	CRR125950_0.95.bracken_num	CRR125950_0.95.bracken_frac	CRR125950_0.99.bracken_num	CRR125950_0.99.bracken_frac	CRR125950_0.bracken_num	CRR125950_0.bracken_frac	CRR125950_1.bracken_num	CRR125950_1.bracken_frac
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. AU20	1349819	S	5	0.00014	3	0.00012	4	0.00020	6	0.00043	4	0.00009	7	0.00053
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	492670	S	67	0.00182	0	0.00000	0	0.00000	0	0.00000	13	0.00031	0	0.00000
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	1308	S	43	0.00117	5	0.00020	3	0.00015	2	0.00014	4	0.00009	2	0.00015
Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea	40559	S	5	0.00014	0	0.00000	0	0.00000	0	0.00000	19	0.00045	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. 14171R-81	2704463	S	4	0.00011	0	0.00000	0	0.00000	0	0.00000	4	0.00009	0	0.00000
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyopneumoniae	2099	S	2	0.00005	1	0.00004	2	0.00010	2	0.00014	4	0.00009	3	0.00023
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis	27289	S	5	0.00014	22	0.00086	30	0.00151	50	0.00359	3	0.00007	63	0.00475
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium betae	244734	S	89	0.00242	19	0.00075	9	0.00045	9	0.00065	18	0.00042	9	0.00068
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Lzh-5	2049935	S	4978	0.13538	13354	0.52395	10634	0.53545	5841	0.41937	406	0.00954	4647	0.35014
Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia restricta	76775	S	412	0.01120	80	0.00314	60	0.00302	48	0.00345	452	0.01062	45	0.00339
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella sp. E39	2133944	S	1	0.00003	1	0.00004	1	0.00005	1	0.00007	156	0.00366	1	0.00008
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii	43768	S	55	0.00150	0	0.00000	0	0.00000	0	0.00000	66	0.00155	0	0.00000
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania naganishii	588726	S	4	0.00011	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	549	S	34	0.00092	18	0.00071	0	0.00000	0	0.00000	8	0.00019	0	0.00000
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	817	S	4	0.00011	6	0.00024	5	0.00025	3	0.00022	1	0.00002	3	0.00023
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes	1314	S	37	0.00101	12	0.00047	10	0.00050	8	0.00057	42	0.00099	8	0.00060
Eukaryota	Cercozoa	Chlorarachniophyceae	NA	NA	Bigelowiella	Bigelowiella natans	227086	S	1	0.00003	2	0.00008	3	0.00015	5	0.00036	2	0.00005	6	0.00045
Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus ficus	317577	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	2702	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	1491	S	1	0.00003	7	0.00027	9	0.00045	13	0.00093	9	0.00021	16	0.00121
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Paraphotobacterium	Paraphotobacterium marinum	1755811	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	1496	S	4	0.00011	10	0.00039	8	0.00040	5	0.00036	5	0.00012	4	0.00030
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloranaerobacter	Caloranaerobacter azorensis	116090	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Cyanobacteria	NA	Nostocales	Aphanizomenonaceae	Anabaenopsis	Anabaenopsis circularis	109266	S	3	0.00008	1	0.00004	1	0.00005	1	0.00007	1	0.00002	1	0.00008
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. SK17	2057741	S	11	0.00030	0	0.00000	0	0.00000	0	0.00000	203	0.00477	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia tsuruhatensis	180282	S	108	0.00294	0	0.00000	0	0.00000	0	0.00000	10	0.00023	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella melitensis	29459	S	1595	0.04338	0	0.00000	0	0.00000	0	0.00000	3958	0.09298	0	0.00000
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. DL-VIII	641107	S	1	0.00003	2	0.00008	2	0.00010	2	0.00014	1	0.00002	2	0.00015
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners	147802	S	94	0.00256	0	0.00000	0	0.00000	0	0.00000	14	0.00033	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pelistega	Pelistega sp. NLN63	2652177	S	9	0.00024	5	0.00020	4	0.00020	2	0.00014	2	0.00005	2	0.00015
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica	28132	S	124	0.00337	0	0.00000	0	0.00000	0	0.00000	174	0.00409	0	0.00000
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella intermedia	28131	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	71	0.00167	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Candidatus Portiera aleyrodidarum	91844	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium knowlesi	5850	S	1	0.00003	2	0.00008	3	0.00015	5	0.00036	5	0.00012	6	0.00045
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oris	28135	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	43	0.00101	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. FD7	1914525	S	773	0.02102	0	0.00000	0	0.00000	0	0.00000	41	0.00096	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia odontolytica	1660	S	145	0.00394	28	0.00110	11	0.00055	0	0.00000	100	0.00235	0	0.00000
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella sp. oral taxon HOT-286	712710	S	19	0.00052	0	0.00000	0	0.00000	0	0.00000	41	0.00096	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus sp. CD3	1921565	S	4	0.00011	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. CA23	2033032	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Cyanobacteria	NA	Chroococcales	Microcystaceae	Microcystis	Microcystis aeruginosa	1126	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	55	0.00129	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter tataouinensis	94132	S	2	0.00005	3	0.00012	3	0.00015	2	0.00014	1	0.00002	2	0.00015
Eukaryota	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia grisea	148305	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella apis	1686310	S	2	0.00005	2	0.00008	1	0.00005	1	0.00007	1	0.00002	1	0.00008
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. oral taxon 299	652716	S	6	0.00016	4	0.00016	4	0.00020	4	0.00029	44	0.00103	4	0.00030
Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vivax	5855	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	149	0.00350	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Actinopolymorpha	Actinopolymorpha singaporensis	117157	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	11	0.00026	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Gammaproteobacteria bacterium DM2	2169539	S	2	0.00005	3	0.00012	2	0.00010	2	0.00014	1	0.00002	1	0.00008
Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	Marinitoga piezophila	149715	S	2	0.00005	6	0.00024	6	0.00030	7	0.00050	1	0.00002	8	0.00060
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Ogataea parapolymorpha	1005962	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	NA	Bradyrhizobiaceae bacterium SG-6C	709797	S	6	0.00016	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena	1019	S	103	0.00280	0	0.00000	0	0.00000	0	0.00000	243	0.00571	0	0.00000
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Halarcobacter	Halarcobacter bivalviorum	663364	S	2	0.00005	3	0.00012	3	0.00015	1	0.00007	1	0.00002	1	0.00008
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga gingivalis	1017	S	13	0.00035	0	0.00000	0	0.00000	0	0.00000	58	0.00136	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum anthropi	529	S	18517	0.50358	3141	0.12324	1702	0.08570	1338	0.09607	12378	0.29077	1406	0.10594
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp. NH-16	2184519	S	62	0.00169	32	0.00126	24	0.00121	25	0.00179	251	0.00590	29	0.00219
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia persicina	55211	S	16	0.00044	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	Candidatus Azobacteroides	Candidatus Azobacteroides pseudotrichonymphae	511435	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella enoeca	76123	S	16	0.00044	6	0.00024	5	0.00025	4	0.00029	57	0.00134	4	0.00030
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia mucilaginosa	43675	S	173	0.00470	15	0.00059	10	0.00050	6	0.00043	228	0.00536	7	0.00053
Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Respirovirus	Human respirovirus 3	11216	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	16	0.00038	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus sp. KH32C	748247	S	6	0.00016	4	0.00016	4	0.00020	2	0.00014	1	0.00002	2	0.00015
Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii	5811	S	54	0.00147	226	0.00887	314	0.01581	512	0.03676	84	0.00197	648	0.04882
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyorhinis	2100	S	5	0.00014	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. lzh-N1	2069255	S	4	0.00011	9	0.00035	7	0.00035	4	0.00029	1	0.00002	3	0.00023
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya	Dickeya fangzhongdai	1778540	S	15	0.00041	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter sp. AONIH1	1758194	S	157	0.00427	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus cohnii	29382	S	14	0.00038	38	0.00149	37	0.00186	37	0.00266	1	0.00002	42	0.00316
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	40324	S	144	0.00392	66	0.00259	53	0.00267	0	0.00000	110	0.00258	0	0.00000
Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia suis	83559	S	13	0.00035	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus subterraneus	129338	S	4	0.00011	9	0.00035	7	0.00035	4	0.00029	1	0.00002	3	0.00023
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylorubrum	Methylorubrum populi	223967	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	Thermodesulfatator indicus	171695	S	1	0.00003	1	0.00004	1	0.00005	1	0.00007	1	0.00002	1	0.00008
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans	80866	S	232	0.00631	34	0.00133	23	0.00116	17	0.00122	73	0.00171	17	0.00128
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia mirabilis	47671	S	345	0.00938	0	0.00000	0	0.00000	0	0.00000	517	0.01214	0	0.00000
Bacteria	Cyanobacteria	NA	Oscillatoriales	Oscillatoriaceae	Oscillatoria	Oscillatoria nigro-viridis	482564	S	8	0.00022	1	0.00004	1	0.00005	1	0.00007	6	0.00014	1	0.00008
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio tubiashii	29498	S	9	0.00024	19	0.00075	15	0.00076	9	0.00065	2	0.00005	7	0.00053
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. 6(2017)	1197460	S	12	0.00033	0	0.00000	0	0.00000	0	0.00000	192	0.00451	0	0.00000
Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania mexicana	5665	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania major	5664	S	1	0.00003	1	0.00004	1	0.00005	1	0.00007	2	0.00005	1	0.00008
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes	253	S	51	0.00139	19	0.00075	9	0.00045	7	0.00050	11	0.00026	7	0.00053
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira borgpetersenii	174	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium varium	856	S	16	0.00044	8	0.00031	1	0.00005	1	0.00007	3	0.00007	1	0.00008
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens	484	S	103	0.00280	0	0.00000	0	0.00000	0	0.00000	116	0.00272	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia hongkongensis	178339	S	376	0.01023	0	0.00000	0	0.00000	0	0.00000	195	0.00458	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	1428	S	210	0.00571	373	0.01463	356	0.01793	347	0.02491	49	0.00115	384	0.02893
Bacteria	Proteobacteria	Oligoflexia	Silvanigrellales	NA	NA	Silvanigrellales bacterium RF1110005	2493639	S	1	0.00003	1	0.00004	1	0.00005	1	0.00007	3	0.00007	1	0.00008
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus mucilaginosus	61624	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Candidatus Carsonella ruddii	114186	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	30	0.00070	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter segnis	739	S	19	0.00052	0	0.00000	0	0.00000	0	0.00000	13	0.00031	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	562	S	885	0.02407	1430	0.05611	1509	0.07598	1931	0.13864	2413	0.05668	2302	0.17345
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella genomosp. 13	463040	S	46	0.00125	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. GY16	2653200	S	3	0.00008	2	0.00008	2	0.00010	1	0.00007	1	0.00002	1	0.00008
Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Equine infectious anemia virus	11665	S	8	0.00022	2	0.00008	1	0.00005	1	0.00007	8	0.00019	1	0.00008
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus haemolyticus	726	S	9	0.00024	0	0.00000	0	0.00000	0	0.00000	29	0.00068	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	85698	S	32	0.00087	0	0.00000	0	0.00000	0	0.00000	8	0.00019	0	0.00000
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium gilvum	1492737	S	32	0.00087	2	0.00008	2	0.00010	1	0.00007	1	0.00002	1	0.00008
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum	5518	S	20	0.00054	0	0.00000	0	0.00000	0	0.00000	14	0.00033	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus oxalaticus	96344	S	12	0.00033	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	1047171	S	25	0.00068	0	0.00000	0	0.00000	0	0.00000	127	0.00298	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	1747	S	1982	0.05390	727	0.02852	533	0.02684	338	0.02427	1709	0.04015	318	0.02396
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae	729	S	199	0.00541	0	0.00000	0	0.00000	0	0.00000	84	0.00197	0	0.00000
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Candidatus Phytoplasma australiense	59748	S	4	0.00011	5	0.00020	6	0.00030	7	0.00050	5	0.00012	7	0.00053
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella osloensis	34062	S	353	0.00960	50	0.00196	19	0.00096	14	0.00101	101	0.00237	13	0.00098
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Paraoerskovia	Paraoerskovia marina	545619	S	12	0.00033	3	0.00012	2	0.00010	2	0.00014	1	0.00002	2	0.00015
Bacteria	Cyanobacteria	NA	Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus sp. PCC 7113	1173027	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Gorganvirus	Proteus virus Isfahan	1969841	S	227	0.00617	207	0.00812	205	0.01032	204	0.01465	243	0.00571	204	0.01537
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sp. FDAARGOS_737	2545799	S	16	0.00044	0	0.00000	0	0.00000	0	0.00000	29	0.00068	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. BTAi1	288000	S	6	0.00016	3	0.00012	2	0.00010	2	0.00014	8	0.00019	2	0.00015
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica	39777	S	160	0.00435	96	0.00377	0	0.00000	0	0.00000	59	0.00139	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus filamentosus	1402861	S	3	0.00008	0	0.00000	0	0.00000	0	0.00000	3	0.00007	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia aeria	172042	S	5	0.00014	0	0.00000	0	0.00000	0	0.00000	5	0.00012	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	NA	Lawsonella	Lawsonella clevelandensis	1528099	S	25	0.00068	1	0.00004	1	0.00005	1	0.00007	306	0.00719	1	0.00008
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	9	S	22	0.00060	17	0.00067	18	0.00091	20	0.00144	70	0.00164	22	0.00166
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Dyella thiooxydans	445710	S	1	0.00003	2	0.00008	1	0.00005	1	0.00007	2	0.00005	1	0.00008
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	837	S	125	0.00340	96	0.00377	69	0.00347	58	0.00416	207	0.00486	56	0.00422
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas brassicacearum	930166	S	3	0.00008	2	0.00008	1	0.00005	1	0.00007	3	0.00007	1	0.00008
Eukaryota	Evosea	Eumycetozoa	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium discoideum	44689	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	11	0.00026	0	0.00000
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	Janibacter melonis	262209	S	9	0.00024	3	0.00012	3	0.00015	1	0.00007	1	0.00002	2	0.00015
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	Dermacoccus nishinomiyaensis	1274	S	18	0.00049	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	Sulfurospirillum cavolei	366522	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa	488	S	859	0.02336	0	0.00000	0	0.00000	0	0.00000	271	0.00637	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Grimontia	Grimontia hollisae	673	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	1	0.00002	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis	480	S	2	0.00005	0	0.00000	0	0.00000	0	0.00000	6	0.00014	0	0.00000
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma neurolyticum	2120	S	1	0.00003	0	0.00000	0	0.00000	0	0.00000	5	0.00012	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	1280	S	30	0.00082	0	0.00000	0	0.00000	0	0.00000	162	0.00381	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	1282	S	23	0.00063	51	0.00200	0	0.00000	0	0.00000	16	0.00038	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus paralicheniformis	1648923	S	5	0.00014	12	0.00047	10	0.00050	5	0.00036	1	0.00002	4	0.00030
