feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X329	survival	Survived	-1.10751776312362	0.199306429824352	25	16	7.06822554077628e-05	0.0063755394377802
X59374	survival	Survived	11.5143227310137	1.11618944210339	25	8	4.849827592937e-05	0.0063755394377802
X335929	survival	Survived	-2.49537231302391	0.432491732191385	25	15	6.49292980961125e-05	0.0063755394377802
X663243	survival	Survived	-2.1120647449978	0.41385947236603	25	21	6.31488180515461e-05	0.0063755394377802
X1246301	survival	Survived	-2.24385475115552	0.417671225805736	25	21	3.48499929237168e-05	0.0063755394377802
X2126319	survival	Survived	-1.57527263101465	0.346837047119471	25	23	0.000177942063927288	0.0133753118052011
X34072	survival	Survived	-2.15514407225873	0.479656435411455	25	22	0.000222316834475706	0.0143235560497919
X1218933	survival	Survived	-3.32673263634105	0.512353790552538	25	9	0.000336329094449856	0.0189605526996107
X1349819	survival	Survived	-2.00717468662268	0.412218358872849	25	14	0.00038549809229847	0.01931773773629
X80869	survival	Survived	-3.12066228721177	0.698474147647895	25	16	0.000530925970379988	0.0239447612641375
X1646	survival	Survived	-2.36857661866256	0.504509833095497	25	13	0.000655632071492634	0.0253757338341569
X13689	survival	Survived	5.81696499769776	0.983418933808366	25	8	0.00103933935305897	0.0253757338341569
X57493	survival	Survived	-2.21574401316159	0.570550557642702	25	19	0.0011936209864337	0.0253757338341569
X66269	survival	Survived	-3.57608429425559	0.829696157198229	25	15	0.000847251206641007	0.0253757338341569
X149539	survival	Survived	-1.99936946955069	0.471401346030529	25	17	0.000711048022007523	0.0253757338341569
X282217	survival	Survived	-1.89464519892156	0.459249055385826	25	15	0.0011946549114476	0.0253757338341569
X401472	survival	Survived	-1.50026618607644	0.383208022320163	25	18	0.00123411010441391	0.0253757338341569
X1034889	survival	Survived	-2.38677204535295	0.599993461415977	25	21	0.000805686736476653	0.0253757338341569
X1311759	survival	Survived	-1.82406895119675	0.366545367951561	25	11	0.000763210176821638	0.0253757338341569
X1813871	survival	Survived	-1.429790694187	0.341861543712463	25	15	0.00107430191228275	0.0253757338341569
X2093856	survival	Survived	3.10303686504589	0.739035450614689	25	14	0.00123460548626432	0.0253757338341569
X2594473	survival	Survived	-1.94944196349308	0.464452113069847	25	14	0.00123784067483692	0.0253757338341569
X83771	survival	Survived	2.9678544948198	0.782195364465193	25	17	0.00176379905389216	0.0344111304866019
X748678	survival	Survived	-2.79132165999168	0.611093644400714	25	10	0.00183119097933137	0.0344111304866019
X1128398	survival	Survived	3.93565570936946	0.916604355854383	25	11	0.00200903154967059	0.0362429291560574
X2498451	survival	Survived	4.22928242424984	0.626084391340931	25	6	0.00250431204492093	0.0434401820099746
X1613	survival	Survived	2.03566707531237	0.589897098467257	25	18	0.00328742284239966	0.0486913841416839
X28221	survival	Survived	-1.59344191139161	0.44611120254537	25	15	0.00341070574476837	0.0486913841416839
X38294	survival	Survived	-2.25248221833163	0.598123623609889	25	13	0.00312244609950237	0.0486913841416839
X85015	survival	Survived	-2.41506137183642	0.666729697311401	25	14	0.00350009922108308	0.0486913841416839
X115981	survival	Survived	-3.41419835270128	0.840176070345944	25	10	0.00361499617667082	0.0486913841416839
X266940	survival	Survived	-3.0251942492069	0.856151180252966	25	15	0.00367074736323116	0.0486913841416839
X391735	survival	Survived	-1.70926418548591	0.496080347638694	25	17	0.00360469055487935	0.0486913841416839
X2652307	survival	Survived	3.58358068786446	0.749265775240205	25	8	0.00305409014283981	0.0486913841416839
X1196325	survival	Survived	4.35870918642479	0.733355364053859	25	6	0.00401938655728493	0.0517926667810144
X1842533	survival	Survived	-1.77773540960895	0.537358198052695	25	17	0.00477703390978451	0.0598456192586892
X171552	survival	Survived	2.38796695258878	0.709286753092343	25	14	0.00560414327484015	0.0683099626203488
X2202826	survival	Survived	2.2510920451302	0.655279871864246	25	12	0.00638135745377926	0.0757366371488012
X908937	survival	Survived	2.19341454354768	0.680914178999707	25	15	0.00668793715634029	0.0773399912181916
X335928	survival	Survived	-3.15718338152058	0.805166503905174	25	8	0.00779161964779219	0.0857078161257141
X354276	survival	Survived	2.5949024420451	0.78054259468352	25	12	0.00768905345719365	0.0857078161257141
X85009	survival	Survived	-2.05384637859952	0.674809952189533	25	17	0.00821006036188122	0.0881604100763912
X1123519	survival	Survived	1.8437029831546	0.566993161439688	25	12	0.00869513831086154	0.0911978460046176
X46170	survival	Survived	-1.99744048724304	0.67149015235468	25	17	0.00944804477983934	0.0968424589933533
X1678	survival	Survived	1.68909016969665	0.573939700261149	25	17	0.0100762382269772	0.0987909443557979
X2056494	survival	Survived	2.44991459954682	0.247299632629792	25	4	0.0100361815910349	0.0987909443557979
X730	survival	Survived	-3.21839947467017	0.607881341678321	25	5	0.0131481573321543	0.126166360783013
X1842539	survival	Survived	2.36180445366191	0.719735174043253	25	9	0.0134593743819504	0.126462038463742
X495	survival	Survived	2.94078561515941	1.02473951718543	25	13	0.0152472929149069	0.128429751600693
X33958	survival	Survived	-2.43989649385492	0.902667891962213	25	19	0.0150808103206324	0.128429751600693
X41295	survival	Survived	-0.588488832641127	0.145028981506703	25	6	0.0153773981960918	0.128429751600693
X680646	survival	Survived	1.74716672795236	0.61871970788463	25	15	0.0143589875447421	0.128429751600693
X1236517	survival	Survived	1.91321598629671	0.670678995105899	25	14	0.0145508798125529	0.128429751600693
X1660158	survival	Survived	-2.22115997061197	0.434020110522473	25	5	0.0144400105318279	0.128429751600693
X402626	survival	Survived	2.12721367711632	0.77020990657376	25	15	0.0161671486430488	0.132570618873001
X109790	survival	Survived	-2.76446762640118	0.784649132434715	25	7	0.0168616767434382	0.133414319496327
X239759	survival	Survived	1.74982265781504	0.643196614502409	25	16	0.0165769099469939	0.133414319496327
X82985	survival	Survived	-1.30506133355349	0.456254910666024	25	11	0.018768832746022	0.145943854628551
X12916	survival	Survived	-1.90246259180625	0.738977708165657	25	19	0.0196923257084932	0.148020648242174
X93973	survival	Survived	-0.820191078330383	0.259035760280844	25	8	0.0194088989109294	0.148020648242174
X436515	survival	Survived	-2.28407237657885	0.888266104257741	25	18	0.0204967704427416	0.151541696224204
X43668	survival	Survived	-2.03258007298752	0.79985587830529	25	17	0.0225892496112369	0.164318573784965
X2683284	survival	Survived	-0.612957006015663	0.202761939217565	25	8	0.023305779238224	0.166839784705381
X2062	survival	Survived	-2.405692716726	0.903725414360437	25	12	0.0238184811835542	0.167845859590358
X108980	survival	Survived	-3.32019605966659	0.94258047800035	25	6	0.0243959786345541	0.169270559448983
X40566	survival	Survived	-2.23421743099223	0.38572650165009	25	4	0.0285366013014491	0.169342199828336
X90370	survival	Survived	-2.19324955250964	0.828724271122188	25	11	0.0266269085175921	0.169342199828336
X204037	survival	Survived	-1.16136785732382	0.463394298698293	25	14	0.0275986408820263	0.169342199828336
X217203	survival	Survived	2.58990467571269	0.897227224444614	25	8	0.0278180761487171	0.169342199828336
X232721	survival	Survived	-1.64186747585362	0.648107549260775	25	14	0.0262584480797652	0.169342199828336
X299767	survival	Survived	2.38274690468216	0.953767515441703	25	14	0.0280053107470987	0.169342199828336
X795665	survival	Survived	-1.43901296380157	0.594065871913026	25	18	0.0276616589213717	0.169342199828336
X929713	survival	Survived	-1.30861338641389	0.514233995302532	25	13	0.0272470483206336	0.169342199828336
X2109913	survival	Survived	-1.09306714133699	0.446604410363901	25	16	0.0281786769021819	0.169342199828336
X2170745	survival	Survived	4.4067073223574	1.49807194926234	25	8	0.0258942574913857	0.169342199828336
X2587161	survival	Survived	1.21336722257417	0.476679597233388	25	14	0.0256793723794578	0.169342199828336
X80854	survival	Survived	-2.50214805528104	0.915040882010676	25	9	0.0291501082676724	0.170736348424938
X172042	survival	Survived	1.32584709481705	0.547169384470627	25	15	0.0307259165358663	0.177658825098407
X1408281	survival	Survived	2.73361225486532	0.92949691390914	25	7	0.032220845490586	0.183944320458915
X2303331	survival	Survived	-0.841358259784901	0.357940687044521	25	17	0.0328429024709546	0.185151862680006
X162	survival	Survived	3.34829406089568	1.23027539878338	25	8	0.0345701346311159	0.188586348522489
X174633	survival	Survived	1.77990258679156	0.0958167941425552	25	3	0.0342378535182539	0.188586348522489
X2086577	survival	Survived	2.92579355875296	1.07620761869874	25	8	0.0347065785529192	0.188586348522489
X433	survival	Survived	-1.25784501553046	0.536405163184855	25	14	0.0370508294826823	0.189306103389164
X1653	survival	Survived	-1.48005263838522	0.658866352177687	25	18	0.0391506186158363	0.189306103389164
X28118	survival	Survived	1.73050590434236	0.627988140491437	25	7	0.0400414964937899	0.189306103389164
X37927	survival	Survived	-2.77648597494325	0.98888858213484	25	7	0.0376508975929429	0.189306103389164
X40480	survival	Survived	2.23363072291086	0.821430901107878	25	7	0.0418150626119473	0.189306103389164
X71999	survival	Survived	-1.47584187564448	0.646532027454487	25	14	0.0414750088525154	0.189306103389164
X203491	survival	Survived	1.88520207971425	0.76587409401122	25	11	0.0360695445551873	0.189306103389164
X264731	survival	Survived	1.48284282470152	0.652931351757811	25	17	0.0383048803234	0.189306103389164
X338969	survival	Survived	-1.77701210533768	0.768665226513537	25	13	0.0411669213962467	0.189306103389164
X476281	survival	Survived	-2.01052574988608	0.831512169984961	25	11	0.0387428790555139	0.189306103389164
X935293	survival	Survived	-2.68806117406866	1.04242037539338	25	8	0.0418440452280577	0.189306103389164
X1197884	survival	Survived	-3.05434410808377	1.12415762303969	25	7	0.0419242809870684	0.189306103389164
X1678128	survival	Survived	-1.56156075437844	0.645781727240346	25	10	0.0419747457625641	0.189306103389164
X2072590	survival	Survived	-1.87422445093542	0.764670658857642	25	10	0.0398731383651628	0.189306103389164
X2615069	survival	Survived	-1.49269146921984	0.634082751522451	25	13	0.0382100859170688	0.189306103389164
X2664291	survival	Survived	-0.51681781952641	0.208702931921768	25	10	0.0383301777585362	0.189306103389164
X2697032	survival	Survived	-1.75984110739775	0.788076652275665	25	19	0.0392765164828135	0.189306103389164
X47878	survival	Survived	2.1703817153306	0.967419074733318	25	14	0.0445174618753553	0.191213098150336
X177437	survival	Survived	-3.23742872709268	0.220890546329627	25	3	0.0433695043331934	0.191213098150336
X423349	survival	Survived	-1.06490214371115	0.475105601324691	25	15	0.0430857968305182	0.191213098150336
X1049583	survival	Survived	-1.99789676121554	0.868324568454308	25	12	0.0441892890741043	0.191213098150336
X1867719	survival	Survived	-1.03751454683089	0.476829954192362	25	19	0.0439598542344296	0.191213098150336
X1697053	survival	Survived	-1.5699844018952	0.710944194464423	25	13	0.049364260233192	0.210030956275185
X169427	survival	Survived	-1.32946238814234	0.417582316754717	25	5	0.0499513911334381	0.210542779450286
X64104	survival	Survived	2.75026749829773	1.08319057145057	25	7	0.0519543188327494	0.2169573869775
X2121	survival	Survived	3.05556586144971	1.20782282089375	25	7	0.0525419486962261	0.217398338183467
X582	survival	Survived	-1.30263532171082	0.620566140841693	25	17	0.0531443722023318	0.21789192602956
X1305	survival	Survived	0.944392283151532	0.459315203621175	25	21	0.0537759013025108	0.217962912704138
X522306	survival	Survived	3.33458372556626	0.809027951029491	25	4	0.0541282621349523	0.217962912704138
X29385	survival	Survived	1.49093028048681	0.554919364701498	25	6	0.0548426617069518	0.218629528824481
X1812935	survival	Survived	1.18372759005898	0.562221467989366	25	15	0.0552633398802456	0.218629528824481
X1822464	survival	Survived	-1.56595656590831	0.718406226544027	25	11	0.0571964039393728	0.224309375449193
X95485	survival	Survived	-1.75191992569306	0.814898282856352	25	11	0.0600500016420289	0.231990417063344
X663365	survival	Survived	-2.41751085836635	1.04607464101334	25	8	0.0601837667326191	0.231990417063344
X434	survival	Survived	-4.45023526853893	0.431579987525648	25	3	0.0615463724151301	0.234583811795415
X2320868	survival	Survived	2.66737812404544	1.22966683901311	25	10	0.0618968372586572	0.234583811795415
X159087	survival	Survived	-1.83751582969898	0.896985206909643	25	14	0.0630332421672194	0.236899935145133
X564	survival	Survived	-1.12489545936559	0.545512814443682	25	13	0.0636358077350369	0.237188010648774
X1196094	survival	Survived	-2.50296266068585	1.09915649073344	25	7	0.0717920520163068	0.264804633493443
X2547399	survival	Survived	1.37612234451769	0.664765833597321	25	10	0.0722194454982116	0.264804633493443
X13373	survival	Survived	-1.27191836342272	0.643987267417362	25	13	0.0738894909198415	0.266593283238788
X32011	survival	Survived	-1.30563868772347	0.644281711525068	25	11	0.0733476639174615	0.266593283238788
X547	survival	Survived	3.02301106086902	1.55665740267701	25	13	0.078176560606781	0.27651985118623
X96942	survival	Survived	-2.2888341491753	1.08056441675128	25	8	0.0784801351481982	0.27651985118623
X1437824	survival	Survived	-0.946886142983267	0.496737088362216	25	16	0.0773613181983039	0.27651985118623
X1242245	survival	Survived	-2.14396134668479	1.11741473008686	25	14	0.0791215705644648	0.276618824221501
X2530390	survival	Survived	1.38526776593514	0.677779084953126	25	9	0.0802574967013294	0.278431777017689
X2509675	survival	Survived	-1.22227309125642	0.471885562209136	25	5	0.0810607600140091	0.279071776842123
X1243	survival	Survived	-1.62985323357217	0.892500552798133	25	19	0.0854410346211898	0.287243088576098
X1360	survival	Survived	-1.44242271289241	0.720257016549547	25	9	0.0852853556507205	0.287243088576098
X946483	survival	Survived	-1.04288531702794	0.55403003664224	25	14	0.0842533773330914	0.287243088576098
X1070130	survival	Survived	-2.19337921841235	1.06880321842268	25	8	0.0859818557822022	0.287243088576098
X756892	survival	Survived	-0.906688593111913	0.496025109102268	25	16	0.0889489858901451	0.294970534091584
X165696	survival	Survived	-1.98502321286867	1.07421388129673	25	13	0.0916630316105654	0.299565414901196
X1499973	survival	Survived	1.86578380202873	0.998462764777756	25	12	0.0912091161627299	0.299565414901196
X31979	survival	Survived	1.87485007223459	1.00971450670776	25	12	0.0930002687359447	0.301749073380655
X237258	survival	Survived	-3.57499233810835	1.74971649544779	25	7	0.0964766886934815	0.3085885574522
X1834205	survival	Survived	-3.16366446005026	1.05794965909526	25	4	0.09599578709941	0.3085885574522
