"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"
"Groups"	2	253724.390486241	126862.19524312	17.2318120044863	3.57064632727205e-07
"Residuals"	102	750933.442834066	7362.09257680456	NA	NA
"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"
"Groups"	1	185168.863431601	185168.863431601	20.9531421143762	1.75071434511528e-05
"Residuals"	78	689308.136642438	8837.28380310818	NA	NA
"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"
"Groups"	1	185168.863431601	185168.863431601	20.9531421143762	1.75071434511528e-05
"Residuals"	78	689308.136642438	8837.28380310818	NA	NA
