"obs.tot"	"obs.groups"	"df.between"	"df.within"	"statistic"	"pvalue"
"GO:0016818"	126	3	2	60.70303748612	4.63216015046115	0.0134203866298804
"GO:0016462"	126	3	2	60.6952593747232	4.61077907096921	0.0136722436425676
"GO:0004672"	126	3	2	59.0026752893924	1.73909043322888	0.184563712008125
"GO:0006468"	126	3	2	59.0363981115106	1.66269275640727	0.198383690409753
"GO:0016651"	126	3	2	58.5280507487902	2.53245898424006	0.0881408136245023
"GO:0044085"	126	3	2	68.1024225383739	1.68233014469886	0.193574724187876
"GO:0022613"	126	3	2	67.9648283474532	1.64237412898884	0.201106595805145
"GO:0050660"	126	3	2	64.7317905565213	1.78700516752732	0.175622863457126
"GO:0017111"	126	3	2	60.5888395281607	4.49806134890582	0.0150874494933438
"GO:0065008"	126	3	2	60.9804524156925	2.1285271428158	0.127770828180164
"GO:0007229"	126	3	2	81.9634179772197	1.13834323351087	0.325360906750921
"GO:0005509"	126	3	2	79.6496087844967	1.31698451300286	0.273712494560655
"GO:0052692"	126	3	2	81.9596465394891	1.08218875384743	0.343644941184798
"GO:0008289"	126	3	2	81.9578005801589	1.11816173702569	0.331814749920984
"GO:0005543"	126	3	2	81.9562867113126	1.09473759429315	0.339469939634381
"GO:0005544"	126	3	2	81.9613471531672	1.09581719264114	0.339112880583684
"GO:0008171"	126	3	2	81.9759866783007	1.09764992405241	0.338507259079752
"GO:0052689"	126	3	2	75.2118204830399	1.36055261960064	0.262758814792077
"GO:0016435"	126	3	2	81.9764477731836	1.10320385827754	0.336681282322136
"GO:0062105"	126	3	2	81.9467094291159	1.08058701550942	0.344182385360941
"GO:0000451"	126	3	2	81.9463966654258	1.07762682454813	0.345176537382223
"GO:0000453"	126	3	2	81.9441342501	1.07543644779616	0.345914164635608
"GO:0000470"	126	3	2	81.9526784195848	1.0702986880566	0.347649891939874
"GO:0008650"	126	3	2	81.9583234060289	1.07179169481983	0.34714411356114
"GO:0000460"	126	3	2	81.9574914332751	1.06954341171789	0.347905600858734
"GO:0000463"	126	3	2	81.9574914332751	1.06954341171789	0.347905600858734
"GO:0000466"	126	3	2	81.9574914332751	1.06954341171789	0.347905600858734
"GO:0016436"	126	3	2	81.9241723732494	1.08451897963318	0.342867737487336
"GO:0000049"	126	3	2	61.4738024401192	1.78654332501473	0.176126798266135
"GO:0042254"	126	3	2	68.5336050660881	1.63320864511224	0.20281072651022
"GO:0002161"	126	3	2	81.7002966115327	1.21250292251706	0.302747345895597
"GO:0006450"	126	3	2	81.7401793262298	1.21093832147587	0.303205174902783
"GO:0106074"	126	3	2	81.8120178929818	1.20794854605732	0.304082330195089
"GO:0004822"	126	3	2	81.9464492601047	1.0767057244366	0.345486471125932
"GO:0006428"	126	3	2	81.9467956901679	1.07628827680859	0.345627010087788
"GO:0071702"	126	3	2	61.3401453647404	4.53076037211203	0.0146136940115806
"GO:0016655"	126	3	2	55.6572632981808	4.70075245220627	0.0129916514026998
"GO:0003960"	126	3	2	56.7235243116751	3.52167043494515	0.0361675298525804
"GO:0019222"	126	3	2	61.190469652784	5.87038725720573	0.00465297018012647
"GO:0060255"	126	3	2	61.3845313944829	6.09121988135468	0.00386236590576586
"GO:0031323"	126	3	2	61.1867842988687	6.01395679095013	0.00412601945935619
"GO:0080090"	126	3	2	61.1705612062245	6.02626588940178	0.00408430493370592
"GO:0051171"	126	3	2	61.1666834918599	6.01915107679192	0.00410877672696742
"GO:0016657"	126	3	2	81.950994534	1.18371430078763	0.311318480370074
"GO:0003920"	126	3	2	81.9601515124354	1.12450663643849	0.329771668157235
"GO:0009889"	126	3	2	61.2333081902815	6.14350407616809	0.00370199849105602
"GO:0019200"	126	3	2	63.0606502438484	6.68347847770124	0.00233064337845902
"GO:0010468"	126	3	2	61.4364264149157	6.29390241530489	0.00326154452898125
"GO:0031326"	126	3	2	61.3297531397281	6.2469330606219	0.00339420375324531
"GO:0010556"	126	3	2	61.3416525476604	6.2625336199827	0.00335018298075842
"GO:2000112"	126	3	2	61.2833318298587	6.27541175779658	0.00331612868718394
"GO:0016053"	126	3	2	60.0678674744386	1.16321438996713	0.319418231069048
"GO:0046394"	126	3	2	60.1183740598529	1.13659331259554	0.327708189479455
"GO:0046835"	126	3	2	63.0263240165432	6.66901011885063	0.00235933852165882
"GO:0019219"	126	3	2	61.177737067808	6.29976101325685	0.00325262956883554
"GO:0051252"	126	3	2	61.1706387084597	6.32402382181919	0.0031880519350868
"GO:2001141"	126	3	2	61.1647510329736	6.32226790345892	0.00319285023935011
"GO:0004747"	126	3	2	62.9773955891829	6.61866947711811	0.00246052468126662
"GO:1903506"	126	3	2	61.0570970325901	6.28418405136642	0.00329819476609
"GO:0006355"	126	3	2	61.0806575689658	6.31393016668721	0.00321723196330266
"GO:0006812"	126	3	2	61.2511588363466	5.05201556377666	0.00931492438483234
"GO:0098772"	126	3	2	59.2884797914438	3.2557933003061	0.0455428049247305
"GO:0016887"	126	3	2	59.7554579166762	3.90638638726179	0.0254434470915463
"GO:0006928"	126	3	2	73.6830325175526	1.37242990726282	0.259893206570987
"GO:0008652"	126	3	2	51.9711334390454	0.559670323742382	0.574802674408372
"GO:0050839"	126	3	2	81.9756218201904	1.13836319344934	0.325353849851861
"GO:0040011"	126	3	2	61.9000351765298	1.52342668868448	0.226022632296245
"GO:0044877"	126	3	2	75.4601988233358	1.88632547563341	0.158708388307671
"GO:0097435"	126	3	2	81.9750321270596	1.13299001406345	0.327059392363795
"GO:0007015"	126	3	2	81.9753722948699	1.12928380210369	0.328241099644204
"GO:0048870"	126	3	2	73.4486314490288	1.3437161026665	0.267210922659376
"GO:0031589"	126	3	2	81.9757863223512	1.15506160301163	0.320111500209101
"GO:0005102"	126	3	2	81.972717087494	1.17273189480764	0.314658397780958
"GO:0016477"	126	3	2	81.9753986315541	1.13080747447335	0.327754745692794
"GO:0007160"	126	3	2	81.9754446642458	1.13002443308188	0.328004595485624
"GO:0005178"	126	3	2	81.9755096728097	1.12967146260986	0.328117281058738
"GO:0033627"	126	3	2	81.9755096751802	1.12961063801897	0.328136703945138
"GO:0023051"	126	3	2	81.949037904887	1.11218828265939	0.333750461052909
"GO:0010646"	126	3	2	81.950330004141	1.11373695199055	0.333247562469288
"GO:0050804"	126	3	2	81.9199145102831	1.04275281296097	0.357113814162621
"GO:0099177"	126	3	2	81.9199145102831	1.04275281296097	0.357113814162621
"GO:0007187"	126	3	2	81.9206019540947	1.04269651299863	0.357133382610589
"GO:0007188"	126	3	2	81.9205880597136	1.04270199942706	0.35713147264693
"GO:0051966"	126	3	2	81.9198704269777	1.04257915189496	0.357174299022001
"GO:0007193"	126	3	2	81.9199674635085	1.04260979635812	0.35716362002721
"GO:0001640"	126	3	2	81.9199660036429	1.04260458790969	0.35716543420537
"GO:0001642"	126	3	2	81.9199660036429	1.04260458790969	0.35716543420537
"GO:0007196"	126	3	2	81.9199660036429	1.04260458790969	0.35716543420537
"GO:0098988"	126	3	2	81.9199660036429	1.04260458790969	0.35716543420537
"GO:1901605"	126	3	2	62.5849647500083	1.36291210173436	0.263403930684569
"GO:0019899"	126	3	2	80.7800782368481	1.7419931424762	0.181686241004888
"GO:0007264"	126	3	2	81.7815510681052	1.36454661079351	0.261251179398817
"GO:0051020"	126	3	2	81.7280987294452	1.41839560691025	0.247998031829174
"GO:0005085"	126	3	2	81.726865218741	1.41715456846971	0.248295753194428
"GO:0006457"	126	3	2	63.2399891364749	3.49169538274833	0.0364425102610992
"GO:0006508"	126	3	2	62.8609162235512	5.06356002845295	0.00914272413515112
"GO:0071705"	126	3	2	60.6335696527071	5.18517193450332	0.00834072596721687
"GO:0018193"	126	3	2	60.1257485985586	1.84265153959427	0.167229713342494
"GO:0009056"	126	3	2	60.1337311270825	3.03212724373585	0.0556430904372948
"GO:0032774"	126	3	2	60.9990064066537	5.07462668059437	0.00914885647384285
"GO:0140097"	126	3	2	58.8944460648706	2.53405733335976	0.087957495455622
"GO:1901575"	126	3	2	60.4092208045958	3.0799321458608	0.0532465022979684
"GO:0022804"	126	3	2	61.5324405107868	6.49263714453965	0.00276454095985086
"GO:0004713"	126	3	2	81.9305358680954	1.07690033036085	0.345421882484302
"GO:0018108"	126	3	2	81.9229243202235	1.07185936627245	0.347123252676316
"GO:0018212"	126	3	2	81.9552715505139	1.09371096795441	0.339809613427305
"GO:0006996"	126	3	2	59.1707829914833	1.87410188211543	0.162490253720703
"GO:0015075"	126	3	2	60.9738405891473	5.80570172030974	0.00492032844098832
"GO:0034220"	126	3	2	61.7037666356966	5.45775423979886	0.00656947351823016
"GO:0046914"	126	3	2	60.1051510423629	4.61483553571261	0.0136630244570437
"GO:0140110"	126	3	2	59.4338936546031	4.70864659966365	0.0126404697280453
"GO:0097659"	126	3	2	60.6075513814395	4.85396034814258	0.0110834348897967
"GO:0006351"	126	3	2	60.6135748227962	4.86116440899681	0.0110144835244672
"GO:0016746"	126	3	2	60.8091099826938	4.29306732761277	0.0180286153240349
"GO:0001882"	126	3	2	63.2138802196176	2.82155820871232	0.0670280318991124
"GO:0032549"	126	3	2	63.2141088659103	2.82098258339831	0.0670634353125946
"GO:0051540"	126	3	2	61.2150462952434	4.56999226105499	0.0141310319560909
"GO:0051536"	126	3	2	61.065698355839	4.50299008949597	0.014990255607129
"GO:0008094"	126	3	2	59.3416122077288	1.62170108096997	0.206194725372977
"GO:0051276"	126	3	2	59.4603966116648	1.76519928081122	0.180002969126625
"GO:0071103"	126	3	2	60.062297812355	1.74347049551062	0.183647192670464
"GO:0042886"	126	3	2	61.5136637365862	4.71189170595765	0.0124747048167981
"GO:0015833"	126	3	2	61.4219000519106	4.67294768329056	0.0129090759765299
"GO:0015318"	126	3	2	60.8821421508036	5.85265490727141	0.00473332012927843
"GO:0006790"	126	3	2	63.3342556343291	4.76194498273546	0.0118410330655673
"GO:0000160"	126	3	2	58.4124743661605	2.31851608267287	0.107411626652723
"GO:0006629"	126	3	2	58.5642292758355	2.91653465005406	0.0620219824336756
"GO:0003916"	126	3	2	60.1298025275148	1.7503023507171	0.182455644330916
"GO:0006265"	126	3	2	70.5970662761184	1.5034436299459	0.229395621940051
"GO:0003918"	126	3	2	75.3709621901245	1.31112685101414	0.275591790398035
"GO:0090079"	126	3	2	58.4360169133903	5.42472546689779	0.00690225296668775
"GO:0008135"	126	3	2	58.4356432492061	5.42468215296464	0.00690252280351202
