"V1"	"V2"	"V3"
"GO:0008150"	11.8800890485984	38.3581465317165	89.3021212335556
"GO:0019740"	0.0608780021410024	0.00162697338967718	0.388432429721764
"GO:0006791"	0.00789757413420366	0.00162853909438713	0.107113209274602
"GO:0008152"	2.99596253807483	24.660318212166	39.2351895680542
"GO:0002376"	0.00763709387312895	1.40141645006001	0.0923628672200926
"GO:0009758"	0.0238953516080071	0.00162718015742718	0.207383686074341
"GO:0015976"	0.108964865908397	0.0181957900740853	0.948378866840696
"GO:0050896"	0.037380046284766	0.00162698181567361	0.394031426919127
"GO:0043473"	0.00259575046408491	0.00162767184281908	0.035083706883589
"GO:0048511"	0.039526052025741	0.00162708384512636	0.232886407862209
"GO:0007610"	0.0125856189191983	78.6045585023126	0.192491094464249
"GO:0009845"	0.0151161142762072	0.271322603286461	0.100874939970942
"GO:0045494"	0.00761343367792052	0.00162900239242517	0.0528658285192848
"GO:0006807"	0.478655923610835	18.7783051371233	10.313268817061
"GO:0019748"	0.012664343871546	0.00162715777520007	0.285633563776069
"GO:1990748"	0.00275745695960007	0.00162836113053968	0.0177409559256434
"GO:0043934"	0.010334901789322	0.0181980788566261	0.197423999778476
"GO:0044403"	0.0264810056352632	0.0183480111378544	0.24698110007842
"GO:0007622"	0.010322776360448	0.00162980322475722	0.0351357130488917
"GO:0007155"	1.43382184195317	0.643219055297416	7.63373049220896
"GO:0051606"	0.00514625770220816	0.0016284698402319	0.0886300888990822
"GO:0007638"	0.0234030877130409	0.00162843290845978	0.00151987535319389
"GO:0007623"	0.0154345210278285	14.0629723105917	0.0936572855702559
"GO:0051301"	0.961500030235851	3.44923090595711	23.544864294905
"GO:0007154"	0.218242546066968	0.00162698420456454	1.65977654169941
"GO:0044237"	0.386359482642501	0.175145135744582	4.98712182821542
"GO:0032504"	0.00520139463414526	0.00162897341636394	0.0177409559256432
"GO:0008283"	0.0230321495718847	0.203396457020797	0.183015290840221
"GO:0098743"	0.000268646307385386	0.00162983774186594	0.0191462144920513
"GO:0007585"	0.00513892397987127	0.00162847079719905	0.00170420355640836
