"x"
"SRR10903401"2
"SRR10903402"2
"SRR10971381"1
"SRR11092056"4
"SRR11092057"4
"SRR11092058"4
"SRR11092059"1
"SRR11092060"1
"SRR11092061"1
"SRR11092062"1
"SRR11092063"1
"SRR11092064"1
"CRR119894"2
"CRR119895"2
"CRR119896"2
"CRR119897"2
"SRR11059940_PE"2
"SRR11059940_SE"2
"SRR11059941_PE"2
"SRR11059941_SE"2
"SRR11059942_PE"2
"SRR11059942_SE"2
"SRR11059943_PE"2
"SRR11059943_SE"2
"SRR11059944_PE"2
"SRR11059944_SE"2
"SRR11059945_PE"2
"SRR11059945_SE"2
"SRR11059946_PE"2
"SRR11059946_SE"2
"SRR11059947_PE"2
"SRR11059947_SE"2
"CRR125934"1
"CRR125935"1
"CRR125936"2
"CRR125937"2
"CRR125938"2
"CRR125939"2
"CRR125940"2
"CRR125941"2
"CRR125942"1
"CRR125943"1
"CRR125944"2
"CRR125945"2
"CRR125946"2
"CRR125947"2
"CRR125948"2
"CRR125949"2
"CRR125970"4
"CRR125971"4
"CRR125974"2
"CRR125979"2
"CRR125981"1
"CRR125982"1
"CRR125989"2
"CRR125972"4
"CRR125973"1
"CRR125980"1
"CRR125984"4
"CRR125990"1
"CRR125991"1
"CRR125992"1
"CRR125993"1
"CRR125985"4
"CRR125986"1
"CRR125987"1
"CRR125994"4
"CRR125976"2
"CRR125988"1
"CRR125975"4
"CRR125977"4
"CRR125978"4
"CRR125983"4
"CRR125950"4
"CRR125951"4
"CRR125952"1
"CRR125953"4
"CRR125954"4
"CRR125955"1
"CRR125956"4
"CRR125957"1
"CRR125958"2
"CRR125959"4
"CRR125960"4
"CRR125961"4
"CRR125962"4
"CRR125963"4
"CRR125964"4
"CRR125965"4
"CRR125966"4
"CRR125967"4
"CRR125968"1
"CRR125969"4
"CRR125995"1
"CRR125996"1
"CRR125997"2
"CRR125998"2
"SRR10571739"3
"SRR10571728"3
"SRR10571754"3
"SRR10571665"3
"SRR10571742"3
"SRR10571738"3
"SRR10571737"3
"SRR10571731"3
"SRR10571722"3
"SRR10571720"3
"SRR10571727"3
"SRR10571719"3
"SRR10571726"3
"SRR10571721"3
"SRR10571753"3
"SRR10571662"3
"SRR10571657"3
"SRR10571744"3
"SRR10571736"3
"SRR10571735"3
"SRR10571734"3
"SRR10571663"3
"SRR10571660"3
"SRR10571655"3
"SRR10571743"3
"SRR10571725"3
"SRR10571723"3
"SRR10571757"3
"SRR10571755"3
"SRR10571752"3
"SRR10571664"3
"SRR10571659"3
"SRR10571658"3
"SRR10571656"3
"SRR10571741"3
"SRR10571756"3
"SRR10571732"3
"SRR10571730"3
"SRR10571724"3
"NC1_SRR7796663"1
"S01"1
"S02"1
"S03"1
"S04"1
"S05"1
"S06"1
"S07"1
"S08"1
"S09"1
"S10"1
"S11"2
"S12"1
"S13"1
"S14"1
"S15"1
"S16"1
"S17"1
"S18"1
"S19"1
"S21"1
"S22"1
"SRR5677652"1
"SRR5677654"4
"SRR5677655"1
"SRR5677656"4
"SRR5677657"4
"SRR5677658"4
"SRR5677659"4
"SRR5677660"1
"SRR5677661"1
