nucleotide.binding
molecular_function
nucleic.acid.binding
DNA.binding
catalytic.activity
3.dehydroquinate.dehydratase.activity
nuclease.activity
carbohydrate.metabolic.process
organic.acid.metabolic.process
nucleobase.containing.compound.metabolic.process
cellular.amino.acid.metabolic.process
cellular.aromatic.compound.metabolic.process
nucleoside.phosphate.metabolic.process
phosphorus.metabolic.process
phosphate.containing.compound.metabolic.process
nitrogen.compound.metabolic.process
transport
biological_process
peptidase.activity
cellular.amino.acid.biosynthetic.process
biosynthetic.process
macromolecule.biosynthetic.process
aromatic.amino.acid.family.metabolic.process
aromatic.amino.acid.family.biosynthetic.process
nucleotide.metabolic.process
nitrogen.fixation
chorismate.biosynthetic.process
cellular.process
organic.acid.biosynthetic.process
RNA.metabolic.process
pyrophosphatase.activity
transferase.activity
transferase.activity..transferring.phosphorus.containing.groups
nucleotidyltransferase.activity
hydrolase.activity
hydrolase.activity..acting.on.ester.bonds
hydrolase.activity..acting.on.acid.anhydrides
hydrolase.activity..acting.on.acid.anhydrides..in.phosphorus.containing.anhydrides
lyase.activity
carbon.oxygen.lyase.activity
hydro.lyase.activity
ligase.activity
purine.nucleotide.binding
nucleoside.triphosphatase.activity
aromatic.compound.biosynthetic.process
protein.metabolic.process
organophosphate.metabolic.process
carboxylic.acid.metabolic.process
ribonucleotide.binding
purine.ribonucleotide.binding
cellular.nitrogen.compound.metabolic.process
cellular.macromolecule.biosynthetic.process
ncRNA.metabolic.process
purine.ribonucleoside.triphosphate.binding
small.molecule.binding
ion.binding
anion.binding
macromolecule.metabolic.process
oxoacid.metabolic.process
dicarboxylic.acid.metabolic.process
dicarboxylic.acid.biosynthetic.process
primary.metabolic.process
cellular.biosynthetic.process
cellular.macromolecule.metabolic.process
cellular.carbohydrate.metabolic.process
cellular.nitrogen.compound.biosynthetic.process
small.molecule.metabolic.process
small.molecule.biosynthetic.process
protein.containing.complex.binding
carboxylic.acid.biosynthetic.process
chorismate.metabolic.process
heterocycle.metabolic.process
regulation.of.biological.process
regulation.of.cellular.process
localization
establishment.of.localization
iron.sulfur.cluster.binding
4.iron..4.sulfur.cluster.binding
metal.cluster.binding
nucleobase.containing.small.molecule.metabolic.process
biological.regulation
nitrogen.cycle.metabolic.process
purine.containing.compound.metabolic.process
nucleic.acid.metabolic.process
carbohydrate.derivative.binding
catalytic.activity..acting.on.a.protein
catalytic.activity..acting.on.RNA
nucleoside.phosphate.binding
organic.cyclic.compound.biosynthetic.process
organonitrogen.compound.metabolic.process
organonitrogen.compound.biosynthetic.process
organic.substance.biosynthetic.process
